comparison_id,source_mode_name,control_support_type,control_variant,sample_pool,n_rows,gt_inside_support_rate_posthoc,top1_near_gt_rate_posthoc,topk_contains_near_gt_rate_posthoc,multiple_topk_peaks_near_gt_rate_posthoc,all_topk_far_rate_posthoc,stable_cluster_tube_rate,jumping_peak_rate,diffuse_or_unstable_rate,median_best_topk_distance_to_gt_px_posthoc,median_peak_background_ratio,median_support_area_px,median_area_ratio_vs_true_mode,serious_peak_competition_rate,scatter_cluster_type_mix,temporal_stability_label_mix,interpretation,provenance_labels
NC0066,broad_fan_baseline,wrong_sar_frame_support,observed_frame=387,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,360.735,2.1253,462051,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0067,broad_fan_baseline,wrong_sar_frame_support,observed_frame=388,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,361.735,1.8726,462051,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0068,broad_fan_baseline,wrong_sar_frame_support,observed_frame=389,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,359.276,2.0222,464427,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0069,broad_fan_baseline,wrong_sar_frame_support,observed_frame=390,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,358.409,2.1485,464427,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0070,broad_fan_baseline,wrong_sar_frame_support,observed_frame=391,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,357.38,1.8545,467487,1,1,azimuth_spread_cluster=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0071,broad_fan_baseline,wrong_sar_frame_support,observed_frame=392,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,355.854,1.9501,467487,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0072,broad_fan_baseline,wrong_sar_frame_support,observed_frame=393,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,356.271,2.0653,469152,1,1,azimuth_spread_cluster=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0073,broad_fan_baseline,wrong_sar_frame_support,observed_frame=394,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,356.879,1.9759,469152,1,1,diffuse_clutter=2;azimuth_spread_cluster=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0074,broad_fan_baseline,wrong_sar_frame_support,observed_frame=395,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,355.107,2.0621,471897,1,1,azimuth_spread_cluster=2;diffuse_clutter=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0075,broad_fan_baseline,wrong_sar_frame_support,observed_frame=396,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,355.324,2.1145,471897,1,1,azimuth_spread_cluster=2;diffuse_clutter=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0076,broad_fan_baseline,wrong_sar_frame_support,observed_frame=397,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,358.178,2.0151,474732,1,1,diffuse_clutter=2;azimuth_spread_cluster=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0077,broad_fan_baseline,wrong_sar_frame_support,observed_frame=398,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,356.591,2.1594,474732,1,1,azimuth_spread_cluster=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0078,broad_fan_baseline,wrong_sar_frame_support,observed_frame=399,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,356.594,2.0798,479511,1,1,azimuth_spread_cluster=2;weak_no_structure=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0079,broad_fan_baseline,wrong_sar_frame_support,observed_frame=400,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,353.992,1.9467,479511,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0080,broad_fan_baseline,wrong_sar_frame_support,observed_frame=401,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,355.173,1.8749,479511,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0081,broad_fan_baseline,wrong_sar_frame_support,observed_frame=402,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,358.555,2.027,481563,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0082,broad_fan_baseline,wrong_sar_frame_support,observed_frame=403,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,353.244,1.8578,481563,1,1,diffuse_clutter=2;azimuth_spread_cluster=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0083,broad_fan_baseline,wrong_sar_frame_support,observed_frame=404,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,361.296,1.9005,484704,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0084,broad_fan_baseline,wrong_sar_frame_support,observed_frame=405,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,360.583,1.9761,484704,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0085,broad_fan_baseline,wrong_sar_frame_support,observed_frame=406,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,394.842,1.891,609196,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0086,broad_fan_baseline,wrong_sar_frame_support,observed_frame=407,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,392.779,1.9478,609196,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0087,broad_fan_baseline,wrong_sar_frame_support,observed_frame=408,paired_optical_object_sar_gt=3,3,0.6667,0,0,0,1,0,0,0,374.243,1.8734,422604,1,1,azimuth_spread_cluster=1;diffuse_clutter=1;weak_no_structure=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0088,broad_fan_baseline,wrong_sar_frame_support,observed_frame=409,paired_optical_object_sar_gt=3,3,0.6667,0,0,0,1,0,0,0,379.278,1.8479,422604,1,1,weak_no_structure=2;diffuse_clutter=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0089,broad_fan_baseline,wrong_sar_frame_support,observed_frame=410,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,398.209,1.7752,616028,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0090,broad_fan_baseline,wrong_sar_frame_support,observed_frame=411,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,395.233,1.7786,616028,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0091,broad_fan_baseline,wrong_sar_frame_support,observed_frame=412,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,398.052,1.781,466425,1,1,diffuse_clutter=1;weak_no_structure=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0092,broad_fan_baseline,wrong_sar_frame_support,observed_frame=413,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,397.508,1.8049,466425,1,1,weak_no_structure=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0093,broad_fan_baseline,wrong_sar_frame_support,observed_frame=414,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,402.019,1.88,471033,1,1,diffuse_clutter=1;azimuth_spread_cluster=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0094,broad_fan_baseline,wrong_sar_frame_support,observed_frame=415,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,400.726,2.025,471033,1,1,weak_no_structure=1;diffuse_clutter=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0095,broad_fan_baseline,wrong_sar_frame_support,observed_frame=416,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,398.856,2.1001,476942,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0096,broad_fan_baseline,wrong_sar_frame_support,observed_frame=417,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,404.376,2.1178,476942,1,1,azimuth_spread_cluster=1;diffuse_clutter=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0097,broad_fan_baseline,wrong_sar_frame_support,observed_frame=418,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,401.132,2.1246,474381,1,1,azimuth_spread_cluster=1;diffuse_clutter=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0098,broad_fan_baseline,wrong_sar_frame_support,observed_frame=419,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,401.684,2.1293,474381,1,1,azimuth_spread_cluster=1;diffuse_clutter=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0099,broad_fan_baseline,wrong_sar_frame_support,observed_frame=454,paired_optical_object_sar_gt=1,1,1,0,0,0,1,0,0,0,508.279,2.0297,384741,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0100,broad_fan_baseline,wrong_sar_frame_support,observed_frame=463,paired_optical_object_sar_gt=1,1,1,0,0,0,1,0,0,0,530.044,1.7927,285885,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0101,broad_fan_baseline,wrong_sar_frame_support,observed_frame=467,paired_optical_object_sar_gt=1,1,1,0,0,0,1,0,0,0,538.627,1.8448,233190,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0102,broad_fan_baseline,wrong_sar_frame_support,observed_frame=52,paired_optical_object_sar_gt=2,2,0.5,0.5,0.5,1,0,0,0,0,150.956,2.2105,484816,1,1,range_spread_cluster=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0103,broad_fan_baseline,wrong_sar_frame_support,observed_frame=56,paired_optical_object_sar_gt=1,1,1,0,0,1,0,0,0,0,123.092,2.0192,771579,1,1,range_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0104,state_conditioned_range_band,azimuth_shifted_support,ALL,paired_optical_object_sar_gt=860,860,0.6302,0.5174,0.7151,0.8581,0.0965,0.9419,0.0047,0.0488,56.113,1.753,90405,0.9999,0.9988,azimuth_spread_cluster=549;range_spread_cluster=150;diffuse_clutter=89;multi_peak_nearby_cluster=64;compact_cluster=7;weak_no_structure=1,stable_cluster_tube=810;diffuse_or_unstable_cluster_tube=42;jumping_peak=4;insufficient_temporal_samples=4,negative control retains high GT-near top-k rate; inspect pseudo-signal or overly broad support risk,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0105,state_conditioned_range_band,azimuth_shifted_support,delta_deg=-10,paired_optical_object_sar_gt=215,215,0.8884,0.5674,0.7302,0.893,0.0791,0.9488,0,0.0465,32.303,1.7932,90468,0.9999,1,azimuth_spread_cluster=142;range_spread_cluster=43;diffuse_clutter=18;multi_peak_nearby_cluster=8;compact_cluster=3;weak_no_structure=1,stable_cluster_tube=204;diffuse_or_unstable_cluster_tube=10;insufficient_temporal_samples=1,negative control retains high GT-near top-k rate; inspect pseudo-signal or overly broad support risk,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0106,state_conditioned_range_band,azimuth_shifted_support,delta_deg=-20,paired_optical_object_sar_gt=215,215,0.3767,0.414,0.6093,0.814,0.1674,0.9349,0,0.0605,68.412,1.7964,90432,0.9999,0.9953,azimuth_spread_cluster=121;range_spread_cluster=47;diffuse_clutter=32;multi_peak_nearby_cluster=13;compact_cluster=2,stable_cluster_tube=201;diffuse_or_unstable_cluster_tube=13;insufficient_temporal_samples=1,negative control retains high GT-near top-k rate; inspect pseudo-signal or overly broad support risk,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0107,state_conditioned_range_band,azimuth_shifted_support,delta_deg=10,paired_optical_object_sar_gt=215,215,0.907,0.6419,0.8605,0.893,0.0651,0.9349,0,0.0605,40.139,1.7317,90378,1,1,azimuth_spread_cluster=144;multi_peak_nearby_cluster=26;diffuse_clutter=24;range_spread_cluster=20;compact_cluster=1,stable_cluster_tube=201;diffuse_or_unstable_cluster_tube=13;insufficient_temporal_samples=1,negative control retains high GT-near top-k rate; inspect pseudo-signal or overly broad support risk,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0108,state_conditioned_range_band,azimuth_shifted_support,delta_deg=20,paired_optical_object_sar_gt=215,215,0.3488,0.4465,0.6605,0.8326,0.0744,0.9488,0.0186,0.0279,67.952,1.7152,90342,1,1,azimuth_spread_cluster=142;range_spread_cluster=40;multi_peak_nearby_cluster=17;diffuse_clutter=15;compact_cluster=1,stable_cluster_tube=204;diffuse_or_unstable_cluster_tube=6;jumping_peak=4;insufficient_temporal_samples=1,negative control retains high GT-near top-k rate; inspect pseudo-signal or overly broad support risk,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0109,state_conditioned_range_band,random_same_scene_support,ALL,paired_optical_object_sar_gt=215,215,0.107,0.0558,0.1163,0.186,0.7907,0,0.9953,0,401.425,1.8393,84762,1.5955,0.9814,diffuse_clutter=168;azimuth_spread_cluster=28;range_spread_cluster=11;multi_peak_nearby_cluster=8,jumping_peak=214;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0110,state_conditioned_range_band,random_same_scene_support,deterministic_same_size_random,paired_optical_object_sar_gt=215,215,0.107,0.0558,0.1163,0.186,0.7907,0,0.9953,0,401.425,1.8393,84762,1.5955,0.9814,diffuse_clutter=168;azimuth_spread_cluster=28;range_spread_cluster=11;multi_peak_nearby_cluster=8,jumping_peak=214;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0111,state_conditioned_range_band,range_shifted_support,ALL,paired_optical_object_sar_gt=430,430,0.1488,0.0186,0.0419,0.4465,0.5395,0.6558,0.014,0.3256,292.512,1.6974,43250,0.9983,0.9977,azimuth_spread_cluster=252;diffuse_clutter=123;weak_no_structure=36;multi_peak_nearby_cluster=13;compact_cluster=6,stable_cluster_tube=282;diffuse_or_unstable_cluster_tube=140;jumping_peak=6;insufficient_temporal_samples=2,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0112,state_conditioned_range_band,range_shifted_support,multiplier=-1.5,paired_optical_object_sar_gt=215,215,0.2977,0.0372,0.0558,0.4837,0.4977,0.9953,0,0,242.236,1.9608,37215,0.507,1,azimuth_spread_cluster=171;weak_no_structure=35;compact_cluster=5;multi_peak_nearby_cluster=4,stable_cluster_tube=214;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0113,state_conditioned_range_band,range_shifted_support,multiplier=1.5,paired_optical_object_sar_gt=215,215,0,0,0.0279,0.4093,0.5814,0.3163,0.0279,0.6512,324.552,1.6217,203166,2.1025,0.9953,diffuse_clutter=123;azimuth_spread_cluster=81;multi_peak_nearby_cluster=9;compact_cluster=1;weak_no_structure=1,diffuse_or_unstable_cluster_tube=140;stable_cluster_tube=68;jumping_peak=6;insufficient_temporal_samples=1,negative control mostly suppresses GT-near top-k; true support is likely more discriminative,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0114,state_conditioned_range_band,true_support,ALL,paired_optical_object_sar_gt=215,215,0.9116,0.6837,0.8977,0.9209,0.0558,0.9349,0,0.0605,36.709,1.7307,90423,1,1,azimuth_spread_cluster=139;diffuse_clutter=33;range_spread_cluster=21;multi_peak_nearby_cluster=20;compact_cluster=2,stable_cluster_tube=201;diffuse_or_unstable_cluster_tube=13;insufficient_temporal_samples=1,"baseline true support for this mode; still posthoc validation, not runtime localization",SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0115,state_conditioned_range_band,true_support,original,paired_optical_object_sar_gt=215,215,0.9116,0.6837,0.8977,0.9209,0.0558,0.9349,0,0.0605,36.709,1.7307,90423,1,1,azimuth_spread_cluster=139;diffuse_clutter=33;range_spread_cluster=21;multi_peak_nearby_cluster=20;compact_cluster=2,stable_cluster_tube=201;diffuse_or_unstable_cluster_tube=13;insufficient_temporal_samples=1,"baseline true support for this mode; still posthoc validation, not runtime localization",SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0116,state_conditioned_range_band,wrong_object_support,ALL,paired_optical_object_sar_gt=215,215,0.2744,0.3907,0.6977,0.8698,0.0977,0.9814,0,0.014,99.455,1.7384,28242,0.9701,1,azimuth_spread_cluster=156;diffuse_clutter=32;range_spread_cluster=16;multi_peak_nearby_cluster=11,stable_cluster_tube=211;diffuse_or_unstable_cluster_tube=3;insufficient_temporal_samples=1,negative control retains high GT-near top-k rate; inspect pseudo-signal or overly broad support risk,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0117,state_conditioned_range_band,wrong_object_support,same_scene_other_object,paired_optical_object_sar_gt=215,215,0.2744,0.3907,0.6977,0.8698,0.0977,0.9814,0,0.014,99.455,1.7384,28242,0.9701,1,azimuth_spread_cluster=156;diffuse_clutter=32;range_spread_cluster=16;multi_peak_nearby_cluster=11,stable_cluster_tube=211;diffuse_or_unstable_cluster_tube=3;insufficient_temporal_samples=1,negative control retains high GT-near top-k rate; inspect pseudo-signal or overly broad support risk,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0118,state_conditioned_range_band,wrong_sar_frame_support,ALL,paired_optical_object_sar_gt=215,215,0.9116,0.5953,0.9116,0.9302,0.0605,0.0186,0,0,54.396,1.7255,90423,1,1,azimuth_spread_cluster=154;multi_peak_nearby_cluster=29;range_spread_cluster=18;diffuse_clutter=14,insufficient_temporal_samples=211;stable_cluster_tube=4,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0119,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=102,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,357.151,2.0307,68157,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0120,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=106,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,359.314,2.0499,53802,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0121,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=237,paired_optical_object_sar_gt=1,1,0,0,0,0,0,0,0,0,188.277,1.9977,51507,1,1,azimuth_spread_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0122,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=25,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,397.276,2.055,209574,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0123,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=263,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,391.71,2.1884,112185,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0124,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=29,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,395.997,1.9795,204453,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0125,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=294,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,393.154,2.1871,114903,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0126,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=298,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,394.03,2.0918,99738,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0127,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=313,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,316.418,2.1409,51291,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0128,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=315,paired_optical_object_sar_gt=1,1,0,0,0,0,1,0,0,0,316.355,1.7411,42525,1,1,diffuse_clutter=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0129,state_conditioned_range_band,wrong_sar_frame_support,observed_frame=327,paired_optical_object_sar_gt=1,1,1,1,1,1,0,0,0,0,70.975,1.6607,90126,1,1,multi_peak_nearby_cluster=1,insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
