gt_id,scene,sar_frame,pool_type,gt_quality_label,gt_quality_confidence,gt_area_px,gt_energy_inside,gt_energy_nearby_context,energy_center_offset_from_gt_center,dominant_energy_inside_gt,vehicle_scale_structure_inside_gt,gt_contains_most_vehicle_structure,gt_contains_too_much_background,needs_manual_gt_review,review_reason,not_allowed_conclusion
118,GM_RM017,331,paired_215,review_low_energy,low,10831.266,525055,4133917,11.368,yes,yes,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
119,GM_RM017,332,paired_215,review_low_energy,low,10533.416,435147,3742128,12.663,no,yes,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
120,GM_RM017,332,paired_215,review_low_energy,low,10529.118,475469,3879118,12.188,yes,yes,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
121,GM_RM017,333,paired_215,review_low_energy,low,13472.911,586828,5408784,10.087,no,yes,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
122,GM_RM017,333,paired_215,review_low_energy,low,10749.955,518125,4037006,8.887,yes,yes,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
123,GM_RM017,334,paired_215,review_extreme_aspect,medium,10504.637,536358,4942354,10.233,no,yes,uncertain,no,yes,GT aspect ratio is unusually high for this 442-row pool.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
124,GM_RM017,334,paired_215,good,medium,10190.342,562701,4804202,7.657,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
125,GM_RM017,335,paired_215,good,medium,11388.616,675513,5231996,7.769,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
126,GM_RM017,335,paired_215,review_multi_structure,medium,12940.793,723344,6186365,7.525,no,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
127,GM_RM017,335,paired_215,review_low_energy,low,10006.053,494635,4505960,2.297,no,uncertain,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
128,GM_RM017,336,paired_215,good,medium,12225.677,733315,5744994,6.576,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
129,GM_RM017,336,paired_215,review_multi_structure,medium,12596.941,702895,5928838,10.136,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
130,GM_RM017,336,paired_215,review_low_energy,low,10396.837,494378,4955236,1.593,no,uncertain,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
334,GM_RM017,337,paired_215,review_multi_structure,medium,12645.971,789905,6329159,8.991,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
335,GM_RM017,337,paired_215,good,medium,11404.346,774792,5814775,8.538,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
135,GM_RM017,337,paired_215,review_multi_structure,medium,10661.613,580817,4866611,2.59,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
131,GM_RM017,338,paired_215,good,medium,11086.248,765697,6066851,7.737,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
132,GM_RM017,338,paired_215,review_too_small,medium,9333.137,727819,5669442,7.593,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
133,GM_RM017,338,paired_215,review_multi_structure,medium,11724.974,693853,6149573,1.736,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
134,GM_RM017,339,paired_215,good,medium,10742.938,944088,8049127,7.397,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
136,GM_RM017,339,paired_215,good,medium,12499.128,1177824,8762404,6.781,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
137,GM_RM017,339,paired_215,review_multi_structure,medium,11779.502,892667,7588781,1.812,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
138,GM_RM017,340,paired_215,review_multi_structure,medium,12819.145,1175588,9817775,5.322,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
139,GM_RM017,340,paired_215,good,medium,9467.747,990708,7317685,6.757,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
140,GM_RM017,340,paired_215,review_multi_structure,medium,9874.535,800068,7015901,1.869,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
141,GM_RM017,341,paired_215,good,medium,11636.44,1141618,9632109,5.282,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
142,GM_RM017,341,paired_215,review_multi_structure,medium,12893.835,1135870,9526712,7.462,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
143,GM_RM017,341,paired_215,review_multi_structure,medium,10627.591,822277,7142613,1.747,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
144,GM_RM017,342,paired_215,good,medium,10388.785,1061900,7627073,6.449,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
145,GM_RM017,342,paired_215,good,medium,11637.475,1055607,9107685,7.514,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
146,GM_RM017,342,paired_215,good,medium,10351.514,811409,6830844,2.021,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
147,GM_RM017,343,paired_215,good,medium,12997.122,1158162,9135929,6.866,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
148,GM_RM017,343,paired_215,good,medium,12444.559,1248270,9078692,5.145,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
149,GM_RM017,343,paired_215,good,medium,11289.244,884535,7018156,1.852,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
150,GM_RM017,344,paired_215,good,medium,10851.016,953628,7469469,8.134,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
151,GM_RM017,344,paired_215,good,medium,11926.931,1180852,8290759,6.225,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
152,GM_RM017,344,paired_215,good,medium,10549.664,787339,6337523,1.844,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
153,GM_RM017,345,paired_215,good,medium,11736.534,1219983,9142776,4.761,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
154,GM_RM017,345,paired_215,good,medium,13287.918,1206266,9320229,8.963,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
155,GM_RM017,345,paired_215,review_multi_structure,medium,12121.021,956340,7913131,2.138,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
156,GM_RM017,346,paired_215,good,medium,11970.194,1242369,8677231,4.2,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
157,GM_RM017,346,paired_215,good,medium,12823.507,1159077,9144718,8.492,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
158,GM_RM017,346,paired_215,review_multi_structure,medium,10982.582,860141,7429226,1.98,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
159,GM_RM017,347,paired_215,good,medium,12728.626,1111587,9112333,8.365,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
160,GM_RM017,347,paired_215,good,medium,10986.412,1103793,8298807,4.745,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
161,GM_RM017,347,paired_215,review_multi_structure,medium,11800.695,872656,7743549,2.893,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
162,GM_RM017,348,paired_215,good,medium,12344,1050555,7925699,8.273,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
163,GM_RM017,348,paired_215,good,medium,10649.2,1029742,6120937,5.314,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
164,GM_RM017,348,paired_215,review_multi_structure,medium,10694.469,770298,6608597,2.729,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
165,GM_RM017,349,paired_215,good,medium,13285.018,1222145,9203944,6.086,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
166,GM_RM017,349,paired_215,review_multi_structure,medium,12193.663,886196,7414941,2.915,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
167,GM_RM017,349,paired_215,good,medium,13085.105,1111304,9529716,7.897,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
168,GM_RM017,350,paired_215,good,medium,12940.519,1121258,7455110,6.825,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
169,GM_RM017,350,paired_215,review_multi_structure,medium,13436.641,922224,8659278,3.297,no,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
170,GM_RM017,350,paired_215,good,medium,12884.779,1051592,9248768,7.692,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
171,GM_RM017,351,paired_215,good,medium,11410.482,1000307,8160096,6.776,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
172,GM_RM017,351,paired_215,good,medium,10447.947,754117,7360626,3.229,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
173,GM_RM017,351,paired_215,good,medium,13083.892,1085960,8874996,10.032,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
174,GM_RM017,352,paired_215,good,medium,11766.678,1006073,7467247,4.93,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
175,GM_RM017,352,paired_215,good,medium,13136.733,948137,8565022,3.184,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
176,GM_RM017,352,paired_215,good,medium,12383.175,1060566,8216958,9.378,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
177,GM_RM017,353,paired_215,good,medium,11878.117,1003217,7629175,5.655,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
178,GM_RM017,353,paired_215,good,medium,11932.612,859207,7109948,3.547,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
179,GM_RM017,353,paired_215,good,medium,12379.227,1046476,8042344,9.789,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
180,GM_RM017,354,paired_215,good,medium,11420.408,791558,6532571,3.812,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
181,GM_RM017,354,paired_215,good,medium,11546.076,953721,7768063,8.473,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
182,GM_RM017,354,paired_215,good,medium,10654.635,896381,6755378,5.521,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
183,GM_RM017,355,paired_215,good,medium,11619.539,883486,7134392,3.412,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
184,GM_RM017,355,paired_215,good,medium,12417.569,1100446,8790122,8.084,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
185,GM_RM017,355,paired_215,good,medium,11016.843,992959,7711959,5.06,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
186,GM_RM017,356,paired_215,good,medium,11906.899,802904,7192763,2.865,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
187,GM_RM017,356,paired_215,good,medium,10317.489,839874,6271948,4.294,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
188,GM_RM017,356,paired_215,good,medium,13301.12,1045475,8083182,8.621,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
189,GM_RM017,357,paired_215,review_multi_structure,medium,11644.218,830320,7788043,3.159,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
190,GM_RM017,357,paired_215,good,medium,10587.916,898818,7156218,6.211,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
191,GM_RM017,357,paired_215,good,medium,13009.52,1090922,8179175,7.411,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
192,GM_RM017,358,paired_215,review_multi_structure,medium,12329.672,880589,7172694,3.324,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
193,GM_RM017,358,paired_215,good,medium,12244.802,1011455,7996255,5.271,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
194,GM_RM017,358,paired_215,good,medium,12315.731,1053125,7820648,7.21,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
195,GM_RM017,359,paired_215,review_multi_structure,medium,12124.04,910674,8598252,3.198,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
196,GM_RM017,359,paired_215,good,medium,11497.077,1024494,7770093,4.29,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
197,GM_RM017,359,paired_215,good,medium,11973.236,1092190,9420107,7.548,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
198,GM_RM017,360,paired_215,review_multi_structure,medium,12492.637,815417,7034589,3.31,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
199,GM_RM017,360,paired_215,good,medium,11282.44,876258,5978557,5.9,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
200,GM_RM017,360,paired_215,good,medium,12651.234,1010587,6960353,7.83,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
201,GM_RM017,361,paired_215,review_multi_structure,medium,12267.479,727418,6818583,3.182,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
202,GM_RM017,361,paired_215,good,medium,11543.624,802700,6456547,6.119,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
203,GM_RM017,361,paired_215,good,medium,12843.327,936319,7632603,7.225,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
204,GM_RM017,362,paired_215,good,medium,10684.632,659136,5078439,4.593,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
205,GM_RM017,362,paired_215,good,medium,12042.825,853108,5762820,6.434,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
206,GM_RM017,362,paired_215,good,medium,12717.32,950979,6382226,8.028,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
207,GM_RM017,363,paired_215,good,medium,12917.645,804685,7062743,4.634,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
208,GM_RM017,363,paired_215,good,medium,11253.397,817110,6034324,6.987,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
209,GM_RM017,363,paired_215,good,medium,13587.641,1034558,8205699,8.903,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
210,GM_RM017,364,paired_215,good,medium,14592.231,856189,8080077,3.91,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
211,GM_RM017,364,paired_215,review_multi_structure,medium,12489.809,845485,6340866,6.454,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
212,GM_RM017,364,paired_215,good,medium,14138.235,1051330,8077233,8.66,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
213,GM_RM017,365,paired_215,good,medium,13039.39,812213,6774083,4.896,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
214,GM_RM017,365,paired_215,review_multi_structure,medium,11612.734,825022,6079624,6.344,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
215,GM_RM017,365,paired_215,good,medium,11423.441,923796,6450875,9.623,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
216,GM_RM017,366,paired_215,review_multi_structure,medium,13982.013,954071,7105108,6.83,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
217,GM_RM017,366,paired_215,review_too_large,medium,15426.218,1182067,8454768,8.049,yes,yes,uncertain,yes,yes,GT scale is in the upper tail; may include background or neighboring structure.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
218,GM_RM017,366,paired_215,review_multi_structure,medium,14464.936,883374,8366245,4.051,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
219,GM_RM017,367,paired_215,review_multi_structure,medium,13309.05,914937,6208694,6.644,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
220,GM_RM017,367,paired_215,good,medium,12471.413,1007401,6895337,8.239,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
221,GM_RM017,367,paired_215,review_multi_structure,medium,12919.331,810558,7172626,5.3,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
222,GM_RM017,368,paired_215,review_multi_structure,medium,13122.852,884836,6373055,6.858,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
223,GM_RM017,368,paired_215,good,medium,12885.702,807822,7669109,5.714,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
224,GM_RM017,368,paired_215,good,medium,14131.335,1091844,7829952,7.828,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
225,GM_RM017,369,paired_215,review_multi_structure,medium,10676.852,787557,5892933,6.608,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
226,GM_RM017,369,paired_215,good,medium,12437.02,846316,7168093,6.539,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
227,GM_RM017,369,paired_215,good,medium,12547.508,1036423,7451647,8.182,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
228,GM_RM017,370,paired_215,review_multi_structure,medium,10723.04,784915,5794746,7.917,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
229,GM_RM017,370,paired_215,good,medium,11658.904,989112,7324498,7.637,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
230,GM_RM017,370,paired_215,good,medium,13245.485,902199,7995601,6.18,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
231,GM_RM017,371,paired_215,review_multi_structure,medium,10478.374,795779,5835569,6.917,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
232,GM_RM017,371,paired_215,good,medium,10930.959,952061,6302344,8.524,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
233,GM_RM017,371,paired_215,good,medium,12734.82,905265,7627068,6.94,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
234,GM_RM017,372,paired_215,good,medium,13035.075,1199253,9103396,8.261,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
235,GM_RM017,372,paired_215,review_multi_structure,medium,10746.75,880145,7805545,7.117,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
236,GM_RM017,372,paired_215,review_extreme_aspect,medium,13665.164,1059830,11440982,5.919,yes,yes,uncertain,no,yes,GT aspect ratio is unusually high for this 442-row pool.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
237,GM_RM017,373,paired_215,good,medium,11905.918,944957,7585018,9.036,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
238,GM_RM017,373,paired_215,review_multi_structure,medium,12404.632,838032,6818118,8.431,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
239,GM_RM017,373,paired_215,good,medium,12781.916,847225,6641315,7.22,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
240,GM_RM017,374,paired_215,good,medium,12884.108,950082,7378071,9.246,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
241,GM_RM017,374,paired_215,good,medium,13902.377,852024,6839598,7.766,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
242,GM_RM017,374,paired_215,review_multi_structure,medium,11931.173,754460,5816597,7.661,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
243,GM_RM017,375,paired_215,good,medium,12111.681,846792,6128923,8.049,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
244,GM_RM017,375,paired_215,good,medium,12892.979,757533,6415565,6.232,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
245,GM_RM017,375,paired_215,review_multi_structure,medium,12780.352,750071,5622815,8.933,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
246,GM_RM017,376,paired_215,good,medium,12010.195,761266,5653019,8.555,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
247,GM_RM017,376,paired_215,good,medium,14391.561,763291,6907253,6.936,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
