comparison,physical_vehicle_id,interval_id,direction,sar_frame,previous_region,current_region,center_shift_px,area_delta,visible_response_coverage_previous,visible_response_coverage_current,category,notes
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,242,"1053.433,1161.148,1192.624,1232.910","1053.433,1161.148,1192.624,1232.910",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,243,"1056.516,1159.171,1196.014,1230.869","1056.516,1159.171,1196.014,1230.869",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,244,"1058.114,1160.871,1197.921,1232.503","1058.114,1160.871,1197.921,1232.503",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,245,"1063.542,1159.109,1203.657,1230.676","1063.542,1159.109,1203.657,1230.676",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,246,"1066.604,1159.636,1207.027,1231.138","1066.604,1159.636,1207.027,1231.138",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210_TO_WGV35A_PAIR_0211,forward,269,"1145.435,1169.858,1293.125,1239.829","1145.435,1169.858,1293.125,1239.829",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210_TO_WGV35A_PAIR_0211,forward,270,"1147.847,1170.433,1295.519,1240.314","1147.847,1170.433,1295.519,1240.314",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210_TO_WGV35A_PAIR_0211,forward,271,"1151.072,1172.467,1298.720,1242.227","1151.072,1172.467,1298.720,1242.227",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210_TO_WGV35A_PAIR_0211,forward,272,"1153.478,1173.373,1301.099,1243.002","1153.478,1173.373,1301.099,1243.002",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210_TO_WGV35A_PAIR_0211,forward,273,"1162.729,1178.424,1310.324,1247.917","1162.729,1178.424,1310.324,1247.917",0,0,0.91765,0.91765,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,273,"1162.761,1179.180,1310.341,1248.600","1162.761,1179.180,1310.341,1248.600",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,274,"1166.668,1178.969,1314.244,1248.501","1166.668,1178.969,1314.244,1248.501",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,275,"1169.223,1179.072,1316.792,1248.755","1169.223,1179.072,1316.792,1248.755",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,276,"1156.628,1176.033,1304.192,1245.880","1156.628,1176.033,1304.192,1245.880",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,277,"1159.099,1172.253,1306.656,1242.270","1159.099,1172.253,1306.656,1242.270",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,278,"1156.475,1174.746,1304.025,1244.934","1156.475,1174.746,1304.025,1244.934",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,279,"1157.835,1175.028,1305.379,1245.388","1157.835,1175.028,1305.379,1245.388",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,280,"1160.033,1174.788,1307.569,1245.319","1160.033,1174.788,1307.569,1245.319",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,forward,281,"1162.872,1174.619,1310.402,1245.323","1162.872,1174.619,1310.402,1245.323",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212_TO_WGV35A_PAIR_0213,forward,288,"1180.218,1174.162,1327.698,1246.162","1180.218,1174.162,1327.698,1246.162",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212_TO_WGV35A_PAIR_0213,forward,289,"1182.860,1173.175,1330.405,1246.327","1182.860,1173.175,1330.405,1246.327",0,0,,,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
P2_to_P3,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212_TO_WGV35A_PAIR_0213,forward,290,"1186.739,1171.177,1334.372,1245.886","1186.739,1171.177,1334.372,1245.886",0,0,0.929834,0.929834,P3_no_op,P3 differs only if fan/mask boundary adjustment changes the P2 region.
