pair_id,scene,sar_frame,sar_gt_id,sar_center_x,sar_center_y,sar_center_azimuth_deg,sar_center_radial_pixel,sar_azimuth_min,sar_azimuth_max,sar_radial_min,sar_radial_max,sar_azimuth_span,sar_radial_span,sar_geometry_warning
WGV35A_PAIR_0201,GM_RM019,4,311,1186.84,1195.994,13.7107,138.554,-22.1624,47.6746,104.974,193.749,69.8369,88.774,
WGV35A_PAIR_0202,GM_RM019,8,314,1196.732,1195.077,17.5007,142.1,-17.2718,50.1293,103.59,202.7,67.4011,99.11,
WGV35A_PAIR_0203,GM_RM019,27,315,1296.876,1186.528,44.7612,202.905,16.1089,63.0388,110.509,298.478,46.9299,187.969,
WGV35A_PAIR_0204,GM_RM019,27,316,1063.71,1203.789,-35.451,155.671,-64.3796,1.5644,95.616,241.942,65.944,146.326,
WGV35A_PAIR_0205,GM_RM019,31,317,1072.055,1205.403,-33.2059,149.63,-62.1481,1.3104,96.697,226.319,63.4585,129.621,
WGV35A_PAIR_0206,GM_RM019,77,319,1269.168,1206.581,42.8808,169.247,10.9962,67.0515,94.589,255.768,56.0553,161.179,
WGV35A_PAIR_0207,GM_RM019,81,320,1278.822,1213.793,46.8998,170.951,18.9396,71.2732,105.689,248.218,52.3336,142.529,
WGV35A_PAIR_0208,GM_RM019,212,323,1014.231,1203.327,-47.6792,189.034,-71.0792,-20.9645,115.554,272.023,50.1147,156.47,
WGV35A_PAIR_0209,GM_RM019,238,324,1110.8,1207.587,-19.3504,130.378,-54.2452,17.3273,92.67,187.749,71.5725,95.079,
WGV35A_PAIR_0210,GM_RM019,269,325,1219.61,1209.381,28.4245,137.836,-3.9769,57.1599,81.362,211.499,61.1368,130.138,
WGV35A_PAIR_0211,GM_RM019,273,326,1227.402,1211.612,31.6698,139.807,-0.8045,59.3649,80.478,214.278,60.1694,133.8,
WGV35A_PAIR_0212,GM_RM019,288,327,1257.965,1210.411,40.8602,158.915,10.4688,63.5873,85.706,237.97,53.1185,152.265,
WGV35A_PAIR_0213,GM_RM019,290,328,1267.92,1207.349,42.747,167.835,13.5782,64.5019,91.143,248.573,50.9236,157.429,
WGV35A_PAIR_0214,GM_RM019,315,330,1033.125,1226.8,-49.346,159.327,-70.4431,-18.8893,81.223,239.549,51.5538,158.327,
WGV35A_PAIR_0215,GM_RM019,317,331,1042.235,1227.5,-47.3094,152.056,-69.7412,-15.5198,75.379,231.891,54.2214,156.512,
