template_id,response_unit_id,sar_frame,template_family,template_axis,template_operation,delta_m,delta_px,region_pixel_count,energy_delta,inner_density_delta,outer_band_density_delta,component_count_delta,principal_axis_change_deg,scale_yaw_feasible_change,template_scope
R21B00049_T09,R21B00049,39,center_shift,range,shift,-0.45,-15,1772,-1000.511121,-0.992571,0.248143,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T10,R21B00049,39,center_shift,range,shift,0.45,15,1772,-1000.511121,-0.992571,0.248143,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T11,R21B00049,39,center_shift,azimuth,shift,-0.45,-15,1772,-1000.511121,-0.992571,0.248143,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T12,R21B00049,39,center_shift,azimuth,shift,0.45,15,1772,-1000.511121,-0.992571,0.248143,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T13,R21B00049,39,single_boundary_shift,range_min,move,-0.15,-5,1997,21110.237847,-0.742795,0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T14,R21B00049,39,single_boundary_shift,range_min,move,0.15,5,1548,14439.9375,0.742795,-0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T15,R21B00049,39,single_boundary_shift,range_max,move,-0.15,-5,1548,14439.9375,-0.742795,0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T16,R21B00049,39,single_boundary_shift,range_max,move,0.15,5,1997,21110.237847,0.742795,-0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T17,R21B00049,39,single_boundary_shift,azimuth_min,move,-0.15,-5,1969,20694.272569,-0.742795,0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T18,R21B00049,39,single_boundary_shift,azimuth_min,move,0.15,5,1575,14841.046875,0.742795,-0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T19,R21B00049,39,single_boundary_shift,azimuth_max,move,-0.15,-5,1575,14841.046875,-0.742795,0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T20,R21B00049,39,single_boundary_shift,azimuth_max,move,0.15,5,1969,20694.272569,0.742795,-0.185699,0,1.113554,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T21,R21B00049,39,single_boundary_shift,range_min,move,-0.3,-10,2221,24437.960069,-0.742795,0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T22,R21B00049,39,single_boundary_shift,range_min,move,0.3,10,1323,11097.359375,0.742795,-0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T23,R21B00049,39,single_boundary_shift,range_max,move,-0.3,-10,1323,11097.359375,-0.742795,0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T24,R21B00049,39,single_boundary_shift,range_max,move,0.3,10,2221,24437.960069,0.742795,-0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T25,R21B00049,39,single_boundary_shift,azimuth_min,move,-0.3,-10,2167,23635.741319,-0.742795,0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T26,R21B00049,39,single_boundary_shift,azimuth_min,move,0.3,10,1377,11899.578125,0.742795,-0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T27,R21B00049,39,single_boundary_shift,azimuth_max,move,-0.3,-10,1377,11899.578125,-0.742795,0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T28,R21B00049,39,single_boundary_shift,azimuth_max,move,0.3,10,2167,23635.741319,0.742795,-0.185699,0,2.227107,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T29,R21B00049,39,scale_resize,range,resize,-0.15,-5,1548,14439.9375,-1.188472,0.297118,0,0.890843,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T30,R21B00049,39,scale_resize,range,resize,0.15,5,1997,21110.237847,1.188472,-0.297118,0,0.890843,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T31,R21B00049,39,scale_resize,azimuth,resize,-0.15,-5,1575,14841.046875,-1.188472,0.297118,0,0.890843,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T32,R21B00049,39,scale_resize,azimuth,resize,0.15,5,1969,20694.272569,1.188472,-0.297118,0,0.890843,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T33,R21B00049,39,scale_resize,range,resize,-0.3,-10,1323,11097.359375,-1.188472,0.297118,0,1.781686,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T34,R21B00049,39,scale_resize,range,resize,0.3,10,2221,24437.960069,1.188472,-0.297118,0,1.781686,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T35,R21B00049,39,scale_resize,azimuth,resize,-0.3,-10,1377,11899.578125,-1.188472,0.297118,0,1.781686,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00049_T36,R21B00049,39,scale_resize,azimuth,resize,0.3,10,2167,23635.741319,1.188472,-0.297118,0,1.781686,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T01,R21B00050,39,center_shift,range,shift,-0.15,-5,601,-328.309683,-0.579029,0.144757,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T02,R21B00050,39,center_shift,range,shift,0.15,5,601,-328.309683,-0.579029,0.144757,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T03,R21B00050,39,center_shift,azimuth,shift,-0.15,-5,601,-328.309683,-0.579029,0.144757,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T04,R21B00050,39,center_shift,azimuth,shift,0.15,5,601,-328.309683,-0.579029,0.144757,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T05,R21B00050,39,center_shift,range,shift,-0.3,-10,601,-656.619366,-1.158059,0.289515,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T06,R21B00050,39,center_shift,range,shift,0.3,10,601,-656.619366,-1.158059,0.289515,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T07,R21B00050,39,center_shift,azimuth,shift,-0.3,-10,601,-656.619366,-1.158059,0.289515,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T08,R21B00050,39,center_shift,azimuth,shift,0.3,10,601,-656.619366,-1.158059,0.289515,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T09,R21B00050,39,center_shift,range,shift,-0.45,-15,601,-984.929049,-1.737088,0.434272,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T10,R21B00050,39,center_shift,range,shift,0.45,15,601,-984.929049,-1.737088,0.434272,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T11,R21B00050,39,center_shift,azimuth,shift,-0.45,-15,601,-984.929049,-1.737088,0.434272,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T12,R21B00050,39,center_shift,azimuth,shift,0.45,15,601,-984.929049,-1.737088,0.434272,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T13,R21B00050,39,single_boundary_shift,range_min,move,-0.15,-5,723,5662.351852,-0.709568,0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T14,R21B00050,39,single_boundary_shift,range_min,move,0.15,5,478,2185.469136,0.709568,-0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T15,R21B00050,39,single_boundary_shift,range_max,move,-0.15,-5,478,2185.469136,-0.709568,0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T16,R21B00050,39,single_boundary_shift,range_max,move,0.15,5,723,5662.351852,0.709568,-0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T17,R21B00050,39,single_boundary_shift,azimuth_min,move,-0.15,-5,723,5662.351852,-0.709568,0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T18,R21B00050,39,single_boundary_shift,azimuth_min,move,0.15,5,478,2185.469136,0.709568,-0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T19,R21B00050,39,single_boundary_shift,azimuth_max,move,-0.15,-5,478,2185.469136,-0.709568,0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T20,R21B00050,39,single_boundary_shift,azimuth_max,move,0.15,5,723,5662.351852,0.709568,-0.177392,0,2.040078,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T21,R21B00050,39,single_boundary_shift,range_min,move,-0.3,-10,846,7407.888889,-0.709568,0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T22,R21B00050,39,single_boundary_shift,range_min,move,0.3,10,356,454.123457,0.709568,-0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T23,R21B00050,39,single_boundary_shift,range_max,move,-0.3,-10,356,454.123457,-0.709568,0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T24,R21B00050,39,single_boundary_shift,range_max,move,0.3,10,846,7407.888889,0.709568,-0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T25,R21B00050,39,single_boundary_shift,azimuth_min,move,-0.3,-10,846,7407.888889,-0.709568,0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T26,R21B00050,39,single_boundary_shift,azimuth_min,move,0.3,10,356,454.123457,0.709568,-0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T27,R21B00050,39,single_boundary_shift,azimuth_max,move,-0.3,-10,356,454.123457,-0.709568,0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T28,R21B00050,39,single_boundary_shift,azimuth_max,move,0.3,10,846,7407.888889,0.709568,-0.177392,0,4.080155,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T29,R21B00050,39,scale_resize,range,resize,-0.15,-5,478,2185.469136,-1.135309,0.283827,0,1.632062,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T30,R21B00050,39,scale_resize,range,resize,0.15,5,723,5662.351852,1.135309,-0.283827,0,1.632062,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T31,R21B00050,39,scale_resize,azimuth,resize,-0.15,-5,478,2185.469136,-1.135309,0.283827,0,1.632062,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T32,R21B00050,39,scale_resize,azimuth,resize,0.15,5,723,5662.351852,1.135309,-0.283827,0,1.632062,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T33,R21B00050,39,scale_resize,range,resize,-0.3,-10,356,454.123457,-1.135309,0.283827,0,3.264124,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T34,R21B00050,39,scale_resize,range,resize,0.3,10,846,7407.888889,1.135309,-0.283827,0,3.264124,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T35,R21B00050,39,scale_resize,azimuth,resize,-0.3,-10,356,454.123457,-1.135309,0.283827,0,3.264124,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00050_T36,R21B00050,39,scale_resize,azimuth,resize,0.3,10,846,7407.888889,1.135309,-0.283827,0,3.264124,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T01,R21B00051,39,center_shift,range,shift,-0.15,-5,1136,-366.675713,-0.388017,0.097004,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T02,R21B00051,39,center_shift,range,shift,0.15,5,1136,-366.675713,-0.388017,0.097004,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T03,R21B00051,39,center_shift,azimuth,shift,-0.15,-5,1136,-366.675713,-0.388017,0.097004,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T04,R21B00051,39,center_shift,azimuth,shift,0.15,5,1136,-366.675713,-0.388017,0.097004,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T05,R21B00051,39,center_shift,range,shift,-0.3,-10,1136,-733.351426,-0.776033,0.194008,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T06,R21B00051,39,center_shift,range,shift,0.3,10,1136,-733.351426,-0.776033,0.194008,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T07,R21B00051,39,center_shift,azimuth,shift,-0.3,-10,1136,-733.351426,-0.776033,0.194008,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T08,R21B00051,39,center_shift,azimuth,shift,0.3,10,1136,-733.351426,-0.776033,0.194008,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T09,R21B00051,39,center_shift,range,shift,-0.45,-15,1136,-1100.02714,-1.16405,0.291012,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T10,R21B00051,39,center_shift,range,shift,0.45,15,1136,-1100.02714,-1.16405,0.291012,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T11,R21B00051,39,center_shift,azimuth,shift,-0.45,-15,1136,-1100.02714,-1.16405,0.291012,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T12,R21B00051,39,center_shift,azimuth,shift,0.45,15,1136,-1100.02714,-1.16405,0.291012,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T13,R21B00051,39,single_boundary_shift,range_min,move,-0.15,-5,1310,10363.62963,-0.672963,0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T14,R21B00051,39,single_boundary_shift,range_min,move,0.15,5,963,5693.266667,0.672963,-0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T15,R21B00051,39,single_boundary_shift,range_max,move,-0.15,-5,963,5693.266667,-0.672963,0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T16,R21B00051,39,single_boundary_shift,range_max,move,0.15,5,1310,10363.62963,0.672963,-0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T17,R21B00051,39,single_boundary_shift,azimuth_min,move,-0.15,-5,1300,10229.037037,-0.672963,0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T18,R21B00051,39,single_boundary_shift,azimuth_min,move,0.15,5,972,5814.4,0.672963,-0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T19,R21B00051,39,single_boundary_shift,azimuth_max,move,-0.15,-5,972,5814.4,-0.672963,0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T20,R21B00051,39,single_boundary_shift,azimuth_max,move,0.15,5,1300,10229.037037,0.672963,-0.168241,0,1.441449,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T21,R21B00051,39,single_boundary_shift,range_min,move,-0.3,-10,1483,12692.081481,-0.672963,0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T22,R21B00051,39,single_boundary_shift,range_min,move,0.3,10,789,3351.355556,0.672963,-0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T23,R21B00051,39,single_boundary_shift,range_max,move,-0.3,-10,789,3351.355556,-0.672963,0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T24,R21B00051,39,single_boundary_shift,range_max,move,0.3,10,1483,12692.081481,0.672963,-0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T25,R21B00051,39,single_boundary_shift,azimuth_min,move,-0.3,-10,1464,12436.355556,-0.672963,0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T26,R21B00051,39,single_boundary_shift,azimuth_min,move,0.3,10,809,3620.540741,0.672963,-0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T27,R21B00051,39,single_boundary_shift,azimuth_max,move,-0.3,-10,809,3620.540741,-0.672963,0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T28,R21B00051,39,single_boundary_shift,azimuth_max,move,0.3,10,1464,12436.355556,0.672963,-0.168241,0,2.882897,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T29,R21B00051,39,scale_resize,range,resize,-0.15,-5,963,5693.266667,-1.076741,0.269185,0,1.153159,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T30,R21B00051,39,scale_resize,range,resize,0.15,5,1310,10363.62963,1.076741,-0.269185,0,1.153159,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T31,R21B00051,39,scale_resize,azimuth,resize,-0.15,-5,972,5814.4,-1.076741,0.269185,0,1.153159,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T32,R21B00051,39,scale_resize,azimuth,resize,0.15,5,1300,10229.037037,1.076741,-0.269185,0,1.153159,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T33,R21B00051,39,scale_resize,range,resize,-0.3,-10,789,3351.355556,-1.076741,0.269185,0,2.306318,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T34,R21B00051,39,scale_resize,range,resize,0.3,10,1483,12692.081481,1.076741,-0.269185,0,2.306318,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T35,R21B00051,39,scale_resize,azimuth,resize,-0.3,-10,809,3620.540741,-1.076741,0.269185,0,2.306318,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00051_T36,R21B00051,39,scale_resize,azimuth,resize,0.3,10,1464,12436.355556,1.076741,-0.269185,0,2.306318,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T01,R21B00052,39,center_shift,range,shift,-0.15,-5,691,-218.578763,-0.34695,0.086738,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T02,R21B00052,39,center_shift,range,shift,0.15,5,691,-218.578763,-0.34695,0.086738,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T03,R21B00052,39,center_shift,azimuth,shift,-0.15,-5,691,-218.578763,-0.34695,0.086738,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T04,R21B00052,39,center_shift,azimuth,shift,0.15,5,691,-218.578763,-0.34695,0.086738,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T05,R21B00052,39,center_shift,range,shift,-0.3,-10,691,-437.157526,-0.693901,0.173475,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T06,R21B00052,39,center_shift,range,shift,0.3,10,691,-437.157526,-0.693901,0.173475,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T07,R21B00052,39,center_shift,azimuth,shift,-0.3,-10,691,-437.157526,-0.693901,0.173475,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T08,R21B00052,39,center_shift,azimuth,shift,0.3,10,691,-437.157526,-0.693901,0.173475,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T09,R21B00052,39,center_shift,range,shift,-0.45,-15,691,-655.736288,-1.040851,0.260213,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T10,R21B00052,39,center_shift,range,shift,0.45,15,691,-655.736288,-1.040851,0.260213,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T11,R21B00052,39,center_shift,azimuth,shift,-0.45,-15,691,-655.736288,-1.040851,0.260213,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T12,R21B00052,39,center_shift,azimuth,shift,0.45,15,691,-655.736288,-1.040851,0.260213,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T13,R21B00052,39,single_boundary_shift,range_min,move,-0.15,-5,853,5522.969444,-0.560139,0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T14,R21B00052,39,single_boundary_shift,range_min,move,0.15,5,530,1904.472222,0.560139,-0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T15,R21B00052,39,single_boundary_shift,range_max,move,-0.15,-5,530,1904.472222,-0.560139,0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T16,R21B00052,39,single_boundary_shift,range_max,move,0.15,5,853,5522.969444,0.560139,-0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T17,R21B00052,39,single_boundary_shift,azimuth_min,move,-0.15,-5,798,4906.816667,-0.560139,0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T18,R21B00052,39,single_boundary_shift,azimuth_min,move,0.15,5,584,2509.422222,0.560139,-0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T19,R21B00052,39,single_boundary_shift,azimuth_max,move,-0.15,-5,584,2509.422222,-0.560139,0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T20,R21B00052,39,single_boundary_shift,azimuth_max,move,0.15,5,798,4906.816667,0.560139,-0.140035,0,1.548502,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T21,R21B00052,39,single_boundary_shift,range_min,move,-0.3,-10,1014,7326.616667,-0.560139,0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T22,R21B00052,39,single_boundary_shift,range_min,move,0.3,10,368,89.622222,0.560139,-0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T23,R21B00052,39,single_boundary_shift,range_max,move,-0.3,-10,368,89.622222,-0.560139,0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T24,R21B00052,39,single_boundary_shift,range_max,move,0.3,10,1014,7326.616667,0.560139,-0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T25,R21B00052,39,single_boundary_shift,azimuth_min,move,-0.3,-10,905,6105.513889,-0.560139,0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T26,R21B00052,39,single_boundary_shift,azimuth_min,move,0.3,10,477,1310.725,0.560139,-0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T27,R21B00052,39,single_boundary_shift,azimuth_max,move,-0.3,-10,477,1310.725,-0.560139,0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T28,R21B00052,39,single_boundary_shift,azimuth_max,move,0.3,10,905,6105.513889,0.560139,-0.140035,0,3.097003,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T29,R21B00052,39,scale_resize,range,resize,-0.15,-5,530,1904.472222,-0.896222,0.224056,0,1.238801,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T30,R21B00052,39,scale_resize,range,resize,0.15,5,853,5522.969444,0.896222,-0.224056,0,1.238801,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T31,R21B00052,39,scale_resize,azimuth,resize,-0.15,-5,584,2509.422222,-0.896222,0.224056,0,1.238801,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T32,R21B00052,39,scale_resize,azimuth,resize,0.15,5,798,4906.816667,0.896222,-0.224056,0,1.238801,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T33,R21B00052,39,scale_resize,range,resize,-0.3,-10,368,89.622222,-0.896222,0.224056,0,2.477603,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T34,R21B00052,39,scale_resize,range,resize,0.3,10,1014,7326.616667,0.896222,-0.224056,0,2.477603,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T35,R21B00052,39,scale_resize,azimuth,resize,-0.3,-10,477,1310.725,-0.896222,0.224056,0,2.477603,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00052_T36,R21B00052,39,scale_resize,azimuth,resize,0.3,10,905,6105.513889,0.896222,-0.224056,0,2.477603,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00053_T01,R21B00053,39,center_shift,range,shift,-0.15,-5,15401,-2121.028538,-0.101102,0.025276,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00053_T02,R21B00053,39,center_shift,range,shift,0.15,5,15401,-2121.028538,-0.101102,0.025276,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00053_T03,R21B00053,39,center_shift,azimuth,shift,-0.15,-5,15401,-2121.028538,-0.101102,0.025276,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00053_T04,R21B00053,39,center_shift,azimuth,shift,0.15,5,15401,-2121.028538,-0.101102,0.025276,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00053_T05,R21B00053,39,center_shift,range,shift,-0.3,-10,15401,-4242.057076,-0.202205,0.050551,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00053_T06,R21B00053,39,center_shift,range,shift,0.3,10,15401,-4242.057076,-0.202205,0.050551,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
