frame_a,frame_b,pair_type,time_separation_frames,aspect_difference_deg,absolute_range_difference_m_grid,response_descriptor_distance,response_similarity,same_aspect_similarity,different_aspect_similarity,aspect_repeatability_effect,threshold_source
368,377,same_aspect_different_range,9,3.678655,1.538811,2.28179,0.102101,,,,calibration_pair_rules
368,378,same_aspect_different_range,10,3.22549,1.351996,2.247344,0.10568,,,,calibration_pair_rules
369,374,same_aspect_different_range,5,0.644503,1.058368,2.144228,0.117158,,,,calibration_pair_rules
369,375,same_aspect_different_range,6,0.035833,1.173082,1.011331,0.363735,,,,calibration_pair_rules
369,376,same_aspect_different_range,7,0.285822,1.093582,0.885917,0.412336,,,,calibration_pair_rules
369,377,same_aspect_different_range,8,3.590279,1.639805,1.674354,0.187429,,,,calibration_pair_rules
369,378,same_aspect_different_range,9,3.137114,1.45299,1.717278,0.179554,,,,calibration_pair_rules
370,375,same_aspect_different_range,5,0.873932,0.786577,2.136292,0.118092,,,,calibration_pair_rules
370,376,same_aspect_similar_range,6,0.623943,0.707077,2.17404,0.113717,,,,calibration_pair_rules
370,377,same_aspect_different_range,7,4.500044,1.2533,2.419715,0.088947,,,,calibration_pair_rules
370,378,same_aspect_different_range,8,4.046879,1.066485,2.410879,0.089736,,,,calibration_pair_rules
371,376,same_aspect_similar_range,5,0.879419,0.664896,2.179086,0.113145,,,,calibration_pair_rules
371,377,same_aspect_different_range,6,4.75552,1.211119,2.498267,0.082227,,,,calibration_pair_rules
371,378,same_aspect_different_range,7,4.302355,1.024304,2.444505,0.086769,,,,calibration_pair_rules
377,382,same_aspect_similar_range,5,4.867609,0.262456,0.350452,0.70437,,,,calibration_pair_rules
381,386,same_aspect_different_range,5,4.903113,0.775899,1.799015,0.165462,,,,calibration_pair_rules
381,387,same_aspect_different_range,6,4.312445,0.848604,1.893839,0.150493,,,,calibration_pair_rules
382,387,same_aspect_different_range,5,3.481086,0.942565,2.162115,0.115081,,,,calibration_pair_rules
382,394,same_aspect_different_range,12,4.957845,1.939009,1.743621,0.174886,,,,calibration_pair_rules
383,388,same_aspect_similar_range,5,1.960515,0.634688,0.477023,0.620628,,,,calibration_pair_rules
383,389,same_aspect_different_range,6,2.779323,0.77624,0.666178,0.513668,,,,calibration_pair_rules
383,390,same_aspect_different_range,7,2.302676,0.912409,0.572795,0.563947,,,,calibration_pair_rules
383,391,same_aspect_different_range,8,2.659561,0.892236,0.598835,0.549451,,,,calibration_pair_rules
383,392,same_aspect_different_range,9,2.63013,1.165432,1.402949,0.245871,,,,calibration_pair_rules
383,393,same_aspect_different_range,10,1.945803,1.430022,0.608691,0.544062,,,,calibration_pair_rules
383,394,same_aspect_different_range,11,0.964617,1.352607,1.367834,0.254658,,,,calibration_pair_rules
384,389,same_aspect_different_range,5,4.706861,1.022484,0.415388,0.660084,,,,calibration_pair_rules
384,390,same_aspect_different_range,6,4.230214,1.158653,0.421847,0.655834,,,,calibration_pair_rules
384,391,same_aspect_different_range,7,4.587099,1.13848,0.565126,0.568289,,,,calibration_pair_rules
384,392,same_aspect_different_range,8,4.557668,1.411676,1.277923,0.278615,,,,calibration_pair_rules
384,393,same_aspect_different_range,9,3.873341,1.676266,0.716058,0.488675,,,,calibration_pair_rules
384,394,same_aspect_different_range,10,2.892155,1.598851,1.204397,0.299873,,,,calibration_pair_rules
385,390,same_aspect_similar_range,5,1.801507,0.634528,1.805984,0.164313,,,,calibration_pair_rules
385,391,same_aspect_similar_range,6,2.158392,0.614355,1.883024,0.152129,,,,calibration_pair_rules
385,392,same_aspect_different_range,7,2.128961,0.887551,0.98064,0.375071,,,,calibration_pair_rules
385,393,same_aspect_different_range,8,1.444634,1.152141,1.974006,0.138899,,,,calibration_pair_rules
385,394,same_aspect_different_range,9,0.463448,1.074726,0.808688,0.445442,,,,calibration_pair_rules
386,391,same_aspect_similar_range,5,2.581035,0.608778,1.58737,0.204463,,,,calibration_pair_rules
386,392,same_aspect_different_range,6,2.551604,0.881974,0.416908,0.659082,,,,calibration_pair_rules
386,393,same_aspect_different_range,7,1.867277,1.146564,1.682673,0.185876,,,,calibration_pair_rules
386,394,same_aspect_different_range,8,0.886091,1.069149,0.436704,0.646163,,,,calibration_pair_rules
387,392,same_aspect_different_range,5,3.142272,0.809269,0.79945,0.449576,,,,calibration_pair_rules
387,393,same_aspect_different_range,6,2.457945,1.073859,1.841036,0.158653,,,,calibration_pair_rules
387,394,same_aspect_different_range,7,1.476759,0.996444,0.649578,0.522266,,,,calibration_pair_rules
388,393,same_aspect_different_range,5,0.014712,0.795334,0.274414,0.760017,,,,calibration_pair_rules
388,394,same_aspect_similar_range,6,0.995898,0.717919,1.213695,0.297097,,,,calibration_pair_rules
389,394,same_aspect_similar_range,5,1.814706,0.576367,1.139387,0.320015,,,,calibration_pair_rules
SUMMARY,,summary,,,,,,0.379348,0,0.379348,same_pairs=30;different_pairs=0
