blind_review_id,blind_frame_id,blind_object_id,review_object_type,visible_structure_cn,vehicle_part_support,vehicle_structure_support,background_structure_support,unresolved,decisive_reason_cn,alternative_explanation_cn,relation_to_other_objects_cn,visual_confidence,runtime_png
BRV_0040,BLIND_FRAME_032,BLIND_OBJECT_040,structure_candidate,"BLIND_OBJECT_040 / BLIND_FRAME_032: 竖向小端点亮但孤立，周围没有主体-侧边组合。 候选角色=endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=133.836673, W=122.1179；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_040 的决定性盲审依据是：竖向小端点亮但孤立，周围没有主体-侧边组合。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0041,BLIND_FRAME_033,BLIND_OBJECT_041,structure_candidate,"BLIND_OBJECT_041 / BLIND_FRAME_033: 左下主体和右侧端点同框，支持局部车辆部件；右上孤立点不稳定。 候选角色=body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=133.965154, W=125.813845；关系=core_to_endpoint_candidate。",true,false,false,false,BLIND_OBJECT_041 的决定性盲审依据是：左下主体和右侧端点同框，支持局部车辆部件；右上孤立点不稳定。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0042,BLIND_FRAME_034,BLIND_OBJECT_042,structure_candidate,"BLIND_OBJECT_042 / BLIND_FRAME_034: 主体和端点位置重复出现，局部形态稳定，但仍有右侧孤立干扰。 候选角色=body_core_candidate;endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=139.895797, W=129.828514；关系=core_to_endpoint_candidate。",true,false,false,false,BLIND_OBJECT_042 的决定性盲审依据是：主体和端点位置重复出现，局部形态稳定，但仍有右侧孤立干扰。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0043,BLIND_FRAME_035,BLIND_OBJECT_043,structure_candidate,"BLIND_OBJECT_043 / BLIND_FRAME_035: 主体块贴近底部，端点在右侧，视觉上是部分车辆响应而非完整框。 候选角色=body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=145.48492, W=130.251883；关系=core_to_endpoint_candidate。",true,false,false,false,BLIND_OBJECT_043 的决定性盲审依据是：主体块贴近底部，端点在右侧，视觉上是部分车辆响应而非完整框。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0044,BLIND_FRAME_036,BLIND_OBJECT_044,structure_candidate,"BLIND_OBJECT_044 / BLIND_FRAME_036: 主体、端点和右上孤立点构成宽三角，但闭合边界仍不充分。 候选角色=body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=136.222541, W=126.879485；关系=core_to_endpoint_candidate。",true,false,false,false,BLIND_OBJECT_044 的决定性盲审依据是：主体、端点和右上孤立点构成宽三角，但闭合边界仍不充分。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0045,BLIND_FRAME_037,BLIND_OBJECT_045,structure_candidate,"BLIND_OBJECT_045 / BLIND_FRAME_037: 只有端点与孤立点，缺少主体宽度，不能给车辆部件强结论。 候选角色=endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=146.812585, W=115.684636；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_045 的决定性盲审依据是：只有端点与孤立点，缺少主体宽度，不能给车辆部件强结论。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0046,BLIND_FRAME_038,BLIND_OBJECT_046,structure_candidate,"BLIND_OBJECT_046 / BLIND_FRAME_038: 左下主体和右侧端点可见，支持局部车辆部件，背景较弱。 候选角色=body_core_candidate;endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=143.471366, W=117.057337；关系=core_to_endpoint_candidate。",true,false,false,false,BLIND_OBJECT_046 的决定性盲审依据是：左下主体和右侧端点可见，支持局部车辆部件，背景较弱。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0047,BLIND_FRAME_039,BLIND_OBJECT_047,structure_candidate,"BLIND_OBJECT_047 / BLIND_FRAME_039: 底部主体块独立清楚，上方弱点不够闭合，判为主体部件。 候选角色=body_core_candidate;unresolved_atom；支持像素轴 L=143.469898, W=120.053564；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_047 的决定性盲审依据是：底部主体块独立清楚，上方弱点不够闭合，判为主体部件。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0048,BLIND_FRAME_040,BLIND_OBJECT_048,structure_candidate,"BLIND_OBJECT_048 / BLIND_FRAME_040: 主体、端点和孤立点三者同框，构成部分车辆响应但存在右上干扰。 候选角色=body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=149.412433, W=124.595938；关系=core_to_endpoint_candidate。",true,false,false,false,BLIND_OBJECT_048 的决定性盲审依据是：主体、端点和孤立点三者同框，构成部分车辆响应但存在右上干扰。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0049,BLIND_FRAME_041,BLIND_OBJECT_049,structure_candidate,"BLIND_OBJECT_049 / BLIND_FRAME_041: 底部主体块清晰，上方斜线提供弱连接，仍只是部件级支持。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=148.210875, W=123.15206；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_049 的决定性盲审依据是：底部主体块清晰，上方斜线提供弱连接，仍只是部件级支持。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0050,BLIND_FRAME_042,BLIND_OBJECT_050,structure_candidate,"BLIND_OBJECT_050 / BLIND_FRAME_042: 主体和小端点紧邻，右侧侧边候选分离，支持局部部件。 候选角色=body_core_candidate;endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=138.740474, W=117.328258；关系=core_to_endpoint_candidate。",true,false,false,false,BLIND_OBJECT_050 的决定性盲审依据是：主体和小端点紧邻，右侧侧边候选分离，支持局部部件。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0051,BLIND_FRAME_043,BLIND_OBJECT_051,structure_candidate,"BLIND_OBJECT_051 / BLIND_FRAME_043: 左下主体块与右侧小点连线可见，但右侧孤立干扰较多。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=137.437853, W=119.005086；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_051 的决定性盲审依据是：左下主体块与右侧小点连线可见，但右侧孤立干扰较多。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0052,BLIND_FRAME_044,BLIND_OBJECT_052,structure_candidate,"BLIND_OBJECT_052 / BLIND_FRAME_044: 底部主体和下方小响应接近，属于截断局部部件。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=146.460652, W=115.982318；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_052 的决定性盲审依据是：底部主体和下方小响应接近，属于截断局部部件。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0053,BLIND_FRAME_045,BLIND_OBJECT_053,structure_candidate,"BLIND_OBJECT_053 / BLIND_FRAME_045: 底部侧边线、主体和小端点同时出现，支持局部车身/侧边组合。 候选角色=body_core_candidate;isolated_small_atom;side_ridge_candidate;unresolved_atom；支持像素轴 L=151.793563, W=121.230762；关系=core_to_side_candidate。",true,false,false,false,BLIND_OBJECT_053 的决定性盲审依据是：底部侧边线、主体和小端点同时出现，支持局部车身/侧边组合。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0054,BLIND_FRAME_046,BLIND_OBJECT_054,structure_candidate,"BLIND_OBJECT_054 / BLIND_FRAME_046: 底部侧边线与上方弱点连接过长，缺少主体块，仍无法判定车辆。 候选角色=side_ridge_candidate;unresolved_atom；支持像素轴 L=162.752771, W=119.520399；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_054 的决定性盲审依据是：底部侧边线与上方弱点连接过长，缺少主体块，仍无法判定车辆。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
