optical_thread_or_edge_id,wgv14b_class,wgv15a_consumption_status,scene,optical_frame_start,optical_frame_end,sar_prior_evidence_ids,sar_evidence_summary,sar_support_level,sar_contradiction_or_risk,mapping_status,alignment_decision,allowed_next_use,blocked_reason,notes
GM_RM017_WGV12M009,boundary_preserved,pre_sar_only,GM_RM017,181,182,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025,posthoc_overlap_rows=56; status_mix=associated_posthoc_weak=44;rejected_for_temporal_instability=12; temporal_mix=stable_cluster_tube=44;diffuse_or_unstable_cluster_tube=8;jumping_peak=4,posthoc_boundary_or_competitor_relevant,risk_status_rows=12; associated_status_rows=44; scatter_mix=azimuth_spread_cluster=48;diffuse_clutter=8,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M010,optical_search_hint_only,pre_sar_only,GM_RM017,213,214,WGV15C_SARPRI_0020,posthoc_overlap_rows=2; status_mix=dropout_existence_support_only=2; temporal_mix=insufficient_temporal_samples=2,posthoc_ambiguous,risk_status_rows=0; associated_status_rows=0; scatter_mix=range_spread_cluster=1;azimuth_spread_cluster=1,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14V001,optical_search_hint_only,pre_sar_only,GM_RM017,118,157,WGV15C_SARPRI_0020;WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=66; status_mix=associated_posthoc_weak=30;sar_structure_present_but_optical_ambiguous=18;rejected_for_temporal_instability=10;review_required=6;dropout_existence_support_only=2; temporal_mix=stable_cluster_tube=49;jumping_peak=10;diffuse_or_unstable_cluster_tube=7,posthoc_mixed_with_risk,risk_status_rows=34; associated_status_rows=30; scatter_mix=range_spread_cluster=22;azimuth_spread_cluster=18;diffuse_clutter=10;multi_peak_nearby_cluster=10;weak_no_structure=6,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14V002,optical_search_hint_only,pre_sar_only,GM_RM017,149,173,WGV15C_SARPRI_0020;WGV15C_SARPRI_0022;WGV15C_SARPRI_0023;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=459; status_mix=associated_posthoc_weak=209;sar_structure_present_but_optical_ambiguous=118;review_required=66;rejected_for_temporal_instability=62;optical_support_present_but_sar_ambiguous=2; temporal_mix=stable_cluster_tube=350;diffuse_or_unstable_cluster_tube=67;jumping_peak=42,posthoc_mixed_with_risk,risk_status_rows=248; associated_status_rows=209; scatter_mix=azimuth_spread_cluster=218;diffuse_clutter=117;range_spread_cluster=57;multi_peak_nearby_cluster=48;weak_no_structure=19,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14V003,optical_search_hint_only,pre_sar_only,GM_RM017,169,181,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=374; status_mix=associated_posthoc_weak=251;rejected_for_temporal_instability=67;sar_structure_present_but_optical_ambiguous=34;review_required=22; temporal_mix=stable_cluster_tube=293;diffuse_or_unstable_cluster_tube=54;jumping_peak=27,posthoc_mixed_with_risk,risk_status_rows=123; associated_status_rows=251; scatter_mix=azimuth_spread_cluster=256;diffuse_clutter=90;multi_peak_nearby_cluster=17;range_spread_cluster=10;weak_no_structure=1,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14V004,blocked_for_sar_consumption,blocked,GM_RM017,176,214,WGV15C_SARPRI_0020;WGV15C_SARPRI_0021;WGV15C_SARPRI_0022;WGV15C_SARPRI_0024;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=381; status_mix=associated_posthoc_weak=275;rejected_for_temporal_instability=71;sar_structure_present_but_optical_ambiguous=12;dropout_existence_support_only=10;associated_posthoc_strong=6,blocked_optical_identity_risk_not_consumable,WGV1.5A blocked_for_sar_consumption; inherited SAR evidence cannot override optical identity risk,posthoc_overlap_checked_but_consumption_blocked,blocked_due_to_identity_risk,documentation_only_until_explicit_protocol_change,blocked_for_sar_consumption in WGV1.5A,Do not use inherited SAR evidence to bridge an optical identity-risk interval.
GM_RM017_WGV14V005,optical_search_hint_only,pre_sar_only,GM_RM017,164,175,WGV15C_SARPRI_0022;WGV15C_SARPRI_0023;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=333; status_mix=associated_posthoc_weak=181;sar_structure_present_but_optical_ambiguous=67;rejected_for_temporal_instability=50;review_required=33;optical_support_present_but_sar_ambiguous=2; temporal_mix=stable_cluster_tube=258;diffuse_or_unstable_cluster_tube=50;jumping_peak=25,posthoc_mixed_with_risk,risk_status_rows=152; associated_status_rows=181; scatter_mix=azimuth_spread_cluster=179;diffuse_clutter=93;multi_peak_nearby_cluster=34;range_spread_cluster=20;weak_no_structure=7,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14V006,optical_search_hint_only,pre_sar_only,GM_RM017,174,185,WGV15C_SARPRI_0020;WGV15C_SARPRI_0021;WGV15C_SARPRI_0022;WGV15C_SARPRI_0024;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=340; status_mix=associated_posthoc_weak=243;rejected_for_temporal_instability=65;sar_structure_present_but_optical_ambiguous=12;dropout_existence_support_only=8;associated_posthoc_strong=6; temporal_mix=stable_cluster_tube=265;diffuse_or_unstable_cluster_tube=52;jumping_peak=23,posthoc_mixed_with_risk,risk_status_rows=83; associated_status_rows=249; scatter_mix=azimuth_spread_cluster=255;diffuse_clutter=58;multi_peak_nearby_cluster=11;range_spread_cluster=7;compact_cluster=6,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM011_WGV14C001,context_only,pre_sar_only,GM_RM011,18,35,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV14C002,context_only,pre_sar_only,GM_RM011,286,292,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM017_WGV14C001,context_only,pre_sar_only,GM_RM017,145,155,WGV15C_SARPRI_0020;WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=50; status_mix=associated_posthoc_weak=24;sar_structure_present_but_optical_ambiguous=12;rejected_for_temporal_instability=8;review_required=4;dropout_existence_support_only=2; temporal_mix=stable_cluster_tube=37;jumping_peak=8;diffuse_or_unstable_cluster_tube=5,posthoc_boundary_or_competitor_relevant,risk_status_rows=24; associated_status_rows=24; scatter_mix=range_spread_cluster=17;azimuth_spread_cluster=12;multi_peak_nearby_cluster=9;diffuse_clutter=8;weak_no_structure=4,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14C002,context_only,pre_sar_only,GM_RM017,149,157,WGV15C_SARPRI_0020;WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=62; status_mix=associated_posthoc_weak=30;sar_structure_present_but_optical_ambiguous=15;rejected_for_temporal_instability=10;review_required=5;dropout_existence_support_only=2; temporal_mix=stable_cluster_tube=46;jumping_peak=9;diffuse_or_unstable_cluster_tube=7,posthoc_boundary_or_competitor_relevant,risk_status_rows=30; associated_status_rows=30; scatter_mix=range_spread_cluster=22;azimuth_spread_cluster=15;diffuse_clutter=10;multi_peak_nearby_cluster=10;weak_no_structure=5,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14C003,context_only,pre_sar_only,GM_RM017,156,164,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=160; status_mix=associated_posthoc_weak=60;sar_structure_present_but_optical_ambiguous=48;review_required=32;rejected_for_temporal_instability=20; temporal_mix=stable_cluster_tube=120;diffuse_or_unstable_cluster_tube=24;jumping_peak=16,posthoc_boundary_or_competitor_relevant,risk_status_rows=100; associated_status_rows=60; scatter_mix=azimuth_spread_cluster=74;diffuse_clutter=39;range_spread_cluster=20;multi_peak_nearby_cluster=17;weak_no_structure=10,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14C004,context_only,pre_sar_only,GM_RM017,164,173,WGV15C_SARPRI_0022;WGV15C_SARPRI_0023;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=277; status_mix=associated_posthoc_weak=137;sar_structure_present_but_optical_ambiguous=67;rejected_for_temporal_instability=38;review_required=33;optical_support_present_but_sar_ambiguous=2; temporal_mix=stable_cluster_tube=214;diffuse_or_unstable_cluster_tube=42;jumping_peak=21,posthoc_boundary_or_competitor_relevant,risk_status_rows=140; associated_status_rows=137; scatter_mix=azimuth_spread_cluster=141;diffuse_clutter=78;multi_peak_nearby_cluster=31;range_spread_cluster=20;weak_no_structure=7,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14C005,context_only,pre_sar_only,GM_RM017,169,175,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=192; status_mix=associated_posthoc_weak=108;sar_structure_present_but_optical_ambiguous=34;rejected_for_temporal_instability=28;review_required=22; temporal_mix=stable_cluster_tube=150;diffuse_or_unstable_cluster_tube=28;jumping_peak=14,posthoc_boundary_or_competitor_relevant,risk_status_rows=84; associated_status_rows=108; scatter_mix=azimuth_spread_cluster=106;diffuse_clutter=63;multi_peak_nearby_cluster=12;range_spread_cluster=10;weak_no_structure=1,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14C006,context_only,pre_sar_only,GM_RM017,174,181,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025,posthoc_overlap_rows=238; status_mix=associated_posthoc_weak=187;rejected_for_temporal_instability=51; temporal_mix=stable_cluster_tube=187;diffuse_or_unstable_cluster_tube=34;jumping_peak=17,posthoc_boundary_or_competitor_relevant,risk_status_rows=51; associated_status_rows=187; scatter_mix=azimuth_spread_cluster=188;diffuse_clutter=42;multi_peak_nearby_cluster=8,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14C007,context_only,pre_sar_only,GM_RM017,176,185,WGV15C_SARPRI_0020;WGV15C_SARPRI_0021;WGV15C_SARPRI_0022;WGV15C_SARPRI_0024;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=284; status_mix=associated_posthoc_weak=199;rejected_for_temporal_instability=53;sar_structure_present_but_optical_ambiguous=12;dropout_existence_support_only=8;associated_posthoc_strong=6; temporal_mix=stable_cluster_tube=221;diffuse_or_unstable_cluster_tube=44;jumping_peak=19,posthoc_boundary_or_competitor_relevant,risk_status_rows=71; associated_status_rows=205; scatter_mix=azimuth_spread_cluster=217;diffuse_clutter=43;multi_peak_nearby_cluster=8;range_spread_cluster=7;compact_cluster=6,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
