component_edge_id,from_component_id,to_component_id,frame_gap,azimuth_shift,radial_shift_px,overlap_ratio,dilated_overlap_ratio,scale_ratio,contrast_change,relation_status,competition_ids,supporting_evidence,conflicting_evidence
WGV33D_EDGE_014006,WGV33D_MAIN_F0166_C005989,WGV33D_MAIN_F0167_C006029,1,1.522,0.8929,0.5,1,1,0.73584,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005989;multi_predecessor:WGV33D_MAIN_F0167_C006029,gap=1;dilated_overlap=1,
WGV33D_EDGE_014007,WGV33D_MAIN_F0166_C005989,WGV33D_MAIN_F0168_C006065,2,-4.4299,-24,0,0,0.75,0.714356,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005989;multi_predecessor:WGV33D_MAIN_F0168_C006065,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014008,WGV33D_MAIN_F0166_C005989,WGV33D_MAIN_F0168_C006066,2,-2.46,12,0,0,0.75,0.582845,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005989;multi_predecessor:WGV33D_MAIN_F0168_C006066,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014009,WGV33D_MAIN_F0166_C005989,WGV33D_MAIN_F0168_C006067,2,-1.0028,-8,0,1,0.5,-0.055176,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005989;multi_predecessor:WGV33D_MAIN_F0168_C006067,gap=2;dilated_overlap=1,
WGV33D_EDGE_014010,WGV33D_MAIN_F0166_C005989,WGV33D_MAIN_F0168_C006068,2,2.8505,1.2275,0,1,0.75,0.471517,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005989;multi_predecessor:WGV33D_MAIN_F0168_C006068,gap=2;dilated_overlap=1,
WGV33D_EDGE_014011,WGV33D_MAIN_F0166_C005990,WGV33D_MAIN_F0167_C006029,1,-3.9373,28.8929,0,0,1.333333,1.171224,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005990;multi_predecessor:WGV33D_MAIN_F0167_C006029,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014012,WGV33D_MAIN_F0166_C005990,WGV33D_MAIN_F0167_C006030,1,0.581,20,0,0,0.666667,0.543294,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005990;multi_predecessor:WGV33D_MAIN_F0167_C006030,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014013,WGV33D_MAIN_F0166_C005990,WGV33D_MAIN_F0167_C006031,1,2.0515,0,0.333333,1,1,-0.110026,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005990;multi_predecessor:WGV33D_MAIN_F0167_C006031,gap=1;dilated_overlap=1,
WGV33D_EDGE_014014,WGV33D_MAIN_F0166_C005990,WGV33D_MAIN_F0168_C006068,2,-2.6088,29.2275,0,0,1,0.906901,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005990;multi_predecessor:WGV33D_MAIN_F0168_C006068,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014015,WGV33D_MAIN_F0166_C005990,WGV33D_MAIN_F0168_C006069,2,2.1036,0,0.666667,0.8,1.666667,0.445833,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005990;multi_predecessor:WGV33D_MAIN_F0168_C006069,gap=2;dilated_overlap=0.8,
WGV33D_EDGE_014016,WGV33D_MAIN_F0166_C005990,WGV33D_MAIN_F0168_C006070,2,1.4169,21.2911,0,0,1,-0.19401,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005990;multi_predecessor:WGV33D_MAIN_F0168_C006070,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014017,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0167_C006030,1,-3.5299,-48,0,0,0.285714,0.001813,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0167_C006030,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014018,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0167_C006032,1,3.4391,0,0.5,1,0.285714,-0.282366,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0167_C006032,gap=1;dilated_overlap=1,
WGV33D_EDGE_014019,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0167_C006033,1,4.4762,-60,0,0,0.285714,2.350446,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0167_C006033,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014020,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0167_C006034,1,4.9816,-8,0,0.666667,0.428571,0.392764,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0167_C006034,gap=1;dilated_overlap=0.667,
WGV33D_EDGE_014021,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0168_C006070,2,-2.694,-46.7089,0,0,0.428571,-0.735491,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0168_C006070,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014022,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0168_C006071,2,0.4924,4,0,1,0.285714,1.467634,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0168_C006071,gap=2;dilated_overlap=1,
WGV33D_EDGE_014023,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0168_C006072,2,2.4747,-32,0,0,0.285714,-0.476702,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0168_C006072,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014024,WGV33D_MAIN_F0166_C005991,WGV33D_MAIN_F0168_C006074,2,5.9591,-25.9615,0,0,0.285714,0.320173,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005991;multi_predecessor:WGV33D_MAIN_F0168_C006074,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014025,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0167_C006031,1,-5.511,-8,0,0,1.5,-1.102539,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0167_C006031,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014026,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0167_C006032,1,-0.0125,60,0,0,1,-0.733398,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0167_C006032,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014027,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0167_C006033,1,1.0246,0,0.5,1,1,1.899414,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0167_C006033,gap=1;dilated_overlap=1,
WGV33D_EDGE_014028,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0167_C006034,1,1.53,52,0,0,1.5,-0.058268,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0167_C006034,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014029,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0168_C006069,2,-5.4589,-8,0,0,2.5,-0.54668,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0168_C006069,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014030,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0168_C006071,2,-2.9592,64,0,0,1,1.016602,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0168_C006071,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014031,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0168_C006072,2,-0.9769,28,0,0,1,-0.927734,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0168_C006072,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014032,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0168_C006073,2,2.9832,52,0,0,2,-0.540039,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0168_C006073,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014033,WGV33D_MAIN_F0166_C005992,WGV33D_MAIN_F0168_C006074,2,2.5075,34.0385,0,0,1,-0.130859,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005992;multi_predecessor:WGV33D_MAIN_F0168_C006074,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014034,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0167_C006032,1,-0.5652,8,0,1,0.666667,-0.427083,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0167_C006032,gap=1;dilated_overlap=1,
WGV33D_EDGE_014035,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0167_C006033,1,0.4719,-52,0,0,0.666667,2.205729,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0167_C006033,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014036,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0167_C006034,1,0.9773,0,0.666667,1,1,0.248047,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0167_C006034,gap=1;dilated_overlap=1,
WGV33D_EDGE_014037,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0167_C006035,1,5.911,-16,0,0,1,-0.132161,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0167_C006035,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014038,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0168_C006071,2,-3.5119,12,0,0,0.666667,1.322917,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0168_C006071,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014039,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0168_C006072,2,-1.5296,-24,0,0,0.666667,-0.621419,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0168_C006072,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014040,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0168_C006073,2,2.4305,0,0.333333,0.75,1.333333,-0.233724,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0168_C006073,gap=2;dilated_overlap=0.75,
WGV33D_EDGE_014041,WGV33D_MAIN_F0166_C005993,WGV33D_MAIN_F0168_C006074,2,1.9548,-17.9615,0,0,0.666667,0.175456,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005993;multi_predecessor:WGV33D_MAIN_F0168_C006074,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014042,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0167_C006032,1,-2.9865,-24,0,0,1,-1.371093,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0167_C006032,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014043,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0167_C006034,1,-1.444,-32,0,0,1.5,-0.695963,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0167_C006034,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014044,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0167_C006035,1,3.4897,-48,0,0,1.5,-1.076171,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0167_C006035,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014045,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0168_C006071,2,-5.9332,-20,0,0,1,0.378907,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0168_C006071,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014046,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0168_C006072,2,-3.9509,-56,0,0,1,-1.565429,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0168_C006072,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014047,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0168_C006073,2,0.0092,-32,0,0,2,-1.177734,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0168_C006073,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014048,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0168_C006074,2,-0.4665,-49.9615,0,0,1,-0.768554,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0168_C006074,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014049,WGV33D_MAIN_F0166_C005994,WGV33D_MAIN_F0168_C006075,2,4.4912,-48,0,0,1.5,-1.51302,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005994;multi_predecessor:WGV33D_MAIN_F0168_C006075,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014050,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0167_C006032,1,-5.0235,24,0,0,1,-1.945312,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0167_C006032,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014051,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0167_C006033,1,-3.9864,-36,0,0,1,0.6875,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0167_C006033,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014052,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0167_C006034,1,-3.481,16,0,0,1.5,-1.270182,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0167_C006034,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014053,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0167_C006035,1,1.4527,0,0.5,1,1.5,-1.65039,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0167_C006035,gap=1;dilated_overlap=1,
WGV33D_EDGE_014054,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0168_C006072,2,-5.9879,-8,0,0,1,-2.139648,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0168_C006072,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014055,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0168_C006073,2,-2.0278,16,0,0,2,-1.751953,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0168_C006073,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014056,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0168_C006074,2,-2.5035,-1.9615,0,1,1,-1.342773,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0168_C006074,gap=2;dilated_overlap=1,
WGV33D_EDGE_014057,WGV33D_MAIN_F0166_C005995,WGV33D_MAIN_F0168_C006075,2,2.4542,0,0,0.666667,1.5,-2.087239,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005995;multi_predecessor:WGV33D_MAIN_F0168_C006075,gap=2;dilated_overlap=0.667,
WGV33D_EDGE_014058,WGV33D_MAIN_F0166_C005996,WGV33D_MAIN_F0167_C006036,1,0.8608,1.31,0.5,1,0.666667,-0.064128,ambiguous_local_continuity,multi_predecessor:WGV33D_MAIN_F0167_C006036,gap=1;dilated_overlap=1,
WGV33D_EDGE_014059,WGV33D_MAIN_F0166_C005997,WGV33D_MAIN_F0167_C006037,1,0.0296,-0.4204,0.785714,1,1.285714,0.635742,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005997;multi_predecessor:WGV33D_MAIN_F0167_C006037,gap=1;dilated_overlap=1,
WGV33D_EDGE_014060,WGV33D_MAIN_F0166_C005997,WGV33D_MAIN_F0168_C006076,2,2.6703,2.4635,0.571429,1,0.5,0.561663,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005997;multi_predecessor:WGV33D_MAIN_F0168_C006076,gap=2;dilated_overlap=1,
WGV33D_EDGE_014061,WGV33D_MAIN_F0166_C005998,WGV33D_MAIN_F0167_C006038,1,-4.0524,5.5481,0.333333,1,0.5,-1.122938,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005998;multi_predecessor:WGV33D_MAIN_F0167_C006038,gap=1;dilated_overlap=1,
WGV33D_EDGE_014062,WGV33D_MAIN_F0166_C005998,WGV33D_MAIN_F0167_C006040,1,3.5311,0.8823,0.666667,1,0.666667,-0.258843,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005998;multi_predecessor:WGV33D_MAIN_F0167_C006040,gap=1;dilated_overlap=1,
WGV33D_EDGE_014063,WGV33D_MAIN_F0166_C005998,WGV33D_MAIN_F0168_C006079,2,3.4428,5.1832,0.277778,0.777778,1.5,0.24953,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005998;multi_predecessor:WGV33D_MAIN_F0168_C006079,gap=2;dilated_overlap=0.778,
WGV33D_EDGE_014064,WGV33D_MAIN_F0166_C005999,WGV33D_MAIN_F0167_C006039,1,5.1075,-49.3313,0,0,1.333333,1.190918,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005999;multi_predecessor:WGV33D_MAIN_F0167_C006039,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014065,WGV33D_MAIN_F0166_C005999,WGV33D_MAIN_F0168_C006076,2,-3.8488,-15.7075,0,0,2.333333,0.389788,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005999;multi_predecessor:WGV33D_MAIN_F0168_C006076,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014066,WGV33D_MAIN_F0166_C005999,WGV33D_MAIN_F0168_C006077,2,0.5218,5.6894,0,1,1.666667,-0.247266,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005999;multi_predecessor:WGV33D_MAIN_F0168_C006077,gap=2;dilated_overlap=1,
WGV33D_EDGE_014067,WGV33D_MAIN_F0166_C005999,WGV33D_MAIN_F0168_C006078,2,3.5078,-21.3373,0,0,1.666667,0.287109,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005999;multi_predecessor:WGV33D_MAIN_F0168_C006078,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014068,WGV33D_MAIN_F0166_C005999,WGV33D_MAIN_F0168_C006080,2,5.7089,-46.3748,0,0,1.333333,0.218261,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C005999;multi_predecessor:WGV33D_MAIN_F0168_C006080,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014069,WGV33D_MAIN_F0166_C006000,WGV33D_MAIN_F0167_C006039,1,4.0865,-25.2175,0,0,1.333333,1.200684,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006000;multi_predecessor:WGV33D_MAIN_F0167_C006039,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014070,WGV33D_MAIN_F0166_C006000,WGV33D_MAIN_F0168_C006076,2,-4.8698,8.4063,0,0.142857,2.333333,0.399554,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006000;multi_predecessor:WGV33D_MAIN_F0168_C006076,gap=2;dilated_overlap=0.143,low overlap or multiple plausible successors
WGV33D_EDGE_014071,WGV33D_MAIN_F0166_C006000,WGV33D_MAIN_F0168_C006077,2,-0.4992,29.8032,0,0,1.666667,-0.2375,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006000;multi_predecessor:WGV33D_MAIN_F0168_C006077,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014072,WGV33D_MAIN_F0166_C006000,WGV33D_MAIN_F0168_C006078,2,2.4868,2.7765,0.333333,0.6,1.666667,0.296875,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006000;multi_predecessor:WGV33D_MAIN_F0168_C006078,gap=2;dilated_overlap=0.6,
WGV33D_EDGE_014073,WGV33D_MAIN_F0166_C006000,WGV33D_MAIN_F0168_C006080,2,4.6879,-22.261,0,0,1.333333,0.228027,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006000;multi_predecessor:WGV33D_MAIN_F0168_C006080,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014074,WGV33D_MAIN_F0166_C006001,WGV33D_MAIN_F0167_C006039,1,1.4548,1.9935,0.5,1,1,1.099121,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006001;multi_predecessor:WGV33D_MAIN_F0167_C006039,gap=1;dilated_overlap=1,
WGV33D_EDGE_014075,WGV33D_MAIN_F0166_C006001,WGV33D_MAIN_F0168_C006077,2,-3.1309,57.0142,0,0,1.25,-0.339063,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006001;multi_predecessor:WGV33D_MAIN_F0168_C006077,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014076,WGV33D_MAIN_F0166_C006001,WGV33D_MAIN_F0168_C006078,2,-0.1449,29.9875,0,0,1.25,0.195312,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006001;multi_predecessor:WGV33D_MAIN_F0168_C006078,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014077,WGV33D_MAIN_F0166_C006001,WGV33D_MAIN_F0168_C006080,2,2.0562,4.95,0,1,1,0.126464,weak_local_continuity,multi_successor:WGV33D_MAIN_F0166_C006001;multi_predecessor:WGV33D_MAIN_F0168_C006080,gap=2;dilated_overlap=1,
WGV33D_EDGE_014078,WGV33D_MAIN_F0166_C006002,WGV33D_MAIN_F0168_C006081,2,0.5497,36,0,0,1.5,-0.024089,ambiguous_local_continuity,,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014079,WGV33D_MAIN_F0167_C006017,WGV33D_MAIN_F0168_C006057,1,0.6107,-2.3243,0.5,1,1.25,-0.055469,ambiguous_local_continuity,multi_predecessor:WGV33D_MAIN_F0168_C006057,gap=1;dilated_overlap=1,
WGV33D_EDGE_014080,WGV33D_MAIN_F0167_C006019,WGV33D_MAIN_F0168_C006058,1,0.0705,0,1,1,1,0.110352,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006019,gap=1;dilated_overlap=1,
WGV33D_EDGE_014081,WGV33D_MAIN_F0167_C006019,WGV33D_MAIN_F0169_C006098,2,0.056,-4,0,1,1,0.13086,weak_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006019;multi_predecessor:WGV33D_MAIN_F0169_C006098,gap=2;dilated_overlap=1,
WGV33D_EDGE_014082,WGV33D_MAIN_F0167_C006019,WGV33D_MAIN_F0169_C006099,2,1.5327,-36,0,0,1.5,-0.689453,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006019;multi_predecessor:WGV33D_MAIN_F0169_C006099,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014083,WGV33D_MAIN_F0167_C006020,WGV33D_MAIN_F0168_C006059,1,1.5989,-1.2173,0.454545,1,1,-0.022017,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006020;multi_predecessor:WGV33D_MAIN_F0168_C006059,gap=1;dilated_overlap=1,
WGV33D_EDGE_014084,WGV33D_MAIN_F0167_C006020,WGV33D_MAIN_F0168_C006060,1,2.5963,-14.9895,0,0,0.272727,2.480942,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006020;multi_predecessor:WGV33D_MAIN_F0168_C006060,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014085,WGV33D_MAIN_F0167_C006020,WGV33D_MAIN_F0169_C006100,2,0.4642,-2.9895,0,1,0.272727,2.170395,weak_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006020;multi_predecessor:WGV33D_MAIN_F0169_C006100,gap=2;dilated_overlap=1,
WGV33D_EDGE_014086,WGV33D_MAIN_F0167_C006020,WGV33D_MAIN_F0169_C006101,2,3.5273,-15.8483,0,0,0.363636,1.787908,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006020;multi_predecessor:WGV33D_MAIN_F0169_C006101,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014087,WGV33D_MAIN_F0167_C006020,WGV33D_MAIN_F0169_C006102,2,4.7492,-0.5141,0.2,1,0.454545,0.049822,weak_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006020;multi_predecessor:WGV33D_MAIN_F0169_C006102,gap=2;dilated_overlap=1,
WGV33D_EDGE_014088,WGV33D_MAIN_F0167_C006021,WGV33D_MAIN_F0168_C006059,1,-0.3997,13.7722,0,0,2.75,-1.736194,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006021;multi_predecessor:WGV33D_MAIN_F0168_C006059,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_014089,WGV33D_MAIN_F0167_C006021,WGV33D_MAIN_F0168_C006060,1,0.5977,0,1,1,0.75,0.766765,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006021;multi_predecessor:WGV33D_MAIN_F0168_C006060,gap=1;dilated_overlap=1,
WGV33D_EDGE_014090,WGV33D_MAIN_F0167_C006021,WGV33D_MAIN_F0168_C006061,1,5.6398,28,0,0,0.75,-1.607584,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0167_C006021;multi_predecessor:WGV33D_MAIN_F0168_C006061,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
