sar_frame,offset_axis,best_offset_m,best_offset_direction,best_value_local_bg_norm,gt_center_value_local_bg_norm,gt_center_local_rank,near_gt_peak_or_plateau,translation_decay_center_minus_far_median,offset_magnitude_m,interpretation
315,body_long,0.45,positive,0.97332,0.971196,3,true,0.007896,0.45,controlled metric translation surface; not a selector
390,local_range,0.9,positive,1.054891,1.051059,3,true,0.001848,0.9,controlled metric translation surface; not a selector
391,body_long,0.9,positive,1.038991,1.03795,2,true,0.003739,0.9,controlled metric translation surface; not a selector
391,body_short,0.9,positive,1.047889,1.03795,5,true,-0.009933,0.9,controlled metric translation surface; not a selector
391,local_azimuth,0.9,positive,1.047889,1.03795,5,true,-0.009933,0.9,controlled metric translation surface; not a selector
391,local_range,0.9,positive,1.038991,1.03795,2,true,0.003739,0.9,controlled metric translation surface; not a selector
392,body_long,-0.45,negative,1.102067,1.099506,3,true,0.015488,0.45,controlled metric translation surface; not a selector
392,body_short,0,centered,1.099506,1.099506,1,true,0.063804,0,controlled metric translation surface; not a selector
392,local_azimuth,0,centered,1.099506,1.099506,1,true,0.033001,0,controlled metric translation surface; not a selector
392,local_range,0,centered,1.099506,1.099506,1,true,0.066157,0,controlled metric translation surface; not a selector
393,body_long,0.9,positive,1.032372,1.030383,3,true,0.000989,0.9,controlled metric translation surface; not a selector
393,body_short,-0.9,negative,1.044607,1.030383,3,true,-0.005524,0.9,controlled metric translation surface; not a selector
393,local_azimuth,-0.9,negative,1.044607,1.030383,3,true,-0.005524,0.9,controlled metric translation surface; not a selector
393,local_range,0.9,positive,1.032372,1.030383,3,true,0.000989,0.9,controlled metric translation surface; not a selector
394,body_long,0,centered,1.105036,1.105036,1,true,0.013102,0,controlled metric translation surface; not a selector
394,body_short,0,centered,1.105036,1.105036,1,true,0.068216,0,controlled metric translation surface; not a selector
394,local_azimuth,0,centered,1.105036,1.105036,1,true,0.025749,0,controlled metric translation surface; not a selector
394,local_range,0,centered,1.105036,1.105036,1,true,0.067791,0,controlled metric translation surface; not a selector
