family_id,sar_frame,member_response_box_ids,member_core_subgraph_ids,family_relation,member_count,family_common_core_atom_ids,family_common_core_bbox,family_common_core_status,family_conservative_bbox,family_conservative_bbox_status,family_member_bbox_variants,family_uncertain_envelope,family_center_dispersion_px,family_width_range_px,family_height_range_px,family_pairwise_min_iou,family_pairwise_max_center_distance_px,family_boundary_reason_cn,generation_provenance
R21R1F00069,80,R21B00094,R21C00094,single_member_family,1,R21A00077,"1146,1241,1212,1271",available_single_member_core,"1146,1241,1212,1271",single_consensus_bbox,"1146,1241,1212,1271","1146,1133,1266,1271",0,66-66,30-30,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00070,80,R21B00095,R21C00095,single_member_family,1,R21A00078,"1272,1163,1290,1187",available_single_member_core,"1272,1163,1290,1187",single_consensus_bbox,"1272,1163,1290,1187","1146,1133,1326,1241",0,18-18,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00071,80,R21B00096,R21C00096,single_member_family,1,R21A00080,"1236,1175,1266,1187",available_single_member_core,"1236,1175,1266,1187",single_consensus_bbox,"1236,1175,1266,1187","1146,1133,1326,1271",0,30-30,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00072,80,R21B00097,R21C00097,single_member_family,1,R21A00081,"1308,1175,1326,1199",available_single_member_core,"1308,1175,1326,1199",single_consensus_bbox,"1308,1175,1326,1199","1146,1133,1326,1241",0,18-18,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00073,81,R21B00100;R21B00104,R21C00100;R21C00104,nested_same_core_family,2,R21A00083,"1200,1181,1260,1241",available_shared_atoms,,common_core_only,"1200,1181,1260,1241 | 1176,1181,1260,1271","1176,1133,1314,1271",19.209373,60-84,60-90,0.47619,19.209373,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00074,81,R21B00101,R21C00101,single_member_family,1,R21A00084,"1302,1133,1314,1145",available_single_member_core,"1302,1133,1314,1145",single_consensus_bbox,"1302,1133,1314,1145","1200,1133,1314,1241",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00075,81,R21B00102,R21C00102,single_member_family,1,R21A00085,"1176,1241,1212,1271",available_single_member_core,"1176,1241,1212,1271",single_consensus_bbox,"1176,1241,1212,1271","1176,1175,1272,1271",0,36-36,30-30,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00076,81,R21B00103,R21C00103,single_member_family,1,R21A00086,"1242,1175,1272,1187",available_single_member_core,"1242,1175,1272,1187",single_consensus_bbox,"1242,1175,1272,1187","1176,1133,1314,1271",0,30-30,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00077,212,R21B00105;R21B00106;R21B00107,R21C00105;R21C00106;R21C00107,nested_same_core_family,3,,"1005,1210,1023,1240",available_member_intersection,,common_core_only,"957,1126,1132,1240 | 1005,1210,1023,1240","957,1126,1132,1240",51.906165,18-175,30-114,0.027068,51.906165,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00078,213,R21B00108;R21B00111,R21C00108;R21C00111,high_iou_boundary_family,2,R21A00089,"981,1126,1132,1240",available_shared_atoms,,multiple_valid_bbox_variants,"981,1126,1132,1240 | 981,1126,1132,1246","963,1126,1132,1246",3,151-151,114-120,0.95,3,族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00079,213,R21B00109,R21C00109,single_member_family,1,R21A00090,"963,1150,987,1180",available_single_member_core,"963,1150,987,1180",single_consensus_bbox,"963,1150,987,1180","963,1126,1132,1246",0,24-24,30-30,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00080,213,R21B00110,R21C00110,single_member_family,1,R21A00091,"1005,1210,1023,1246",available_single_member_core,"1005,1210,1023,1246",single_consensus_bbox,"1005,1210,1023,1246","963,1126,1132,1246",0,18-18,36-36,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00081,216,R21B00112;R21B00113;R21B00114,R21C00112;R21C00113;R21C00114,nested_same_core_family,3,,"1017,1216,1035,1240",available_member_intersection,,common_core_only,"975,1126,1131,1240 | 1017,1216,1035,1240","975,1126,1131,1240",52.478567,18-156,24-114,0.024291,52.478567,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00082,220,R21B00115,R21C00115,single_member_family,1,R21A00094,"1011,1126,1132,1240",available_single_member_core,"1011,1126,1132,1240",single_consensus_bbox,"1011,1126,1132,1240","993,1126,1132,1240",0,121-121,114-114,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00083,220,R21B00116,R21C00116,single_member_family,1,R21A00095,"993,1156,1017,1174",available_single_member_core,"993,1156,1017,1174",single_consensus_bbox,"993,1156,1017,1174","993,1126,1132,1240",0,24-24,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00084,224,R21B00117;R21B00120;R21B00121;R21B00123,R21C00117;R21C00120;R21C00121;R21C00123,high_iou_boundary_family,4,R21A00096,"1005,1126,1132,1234",available_shared_atoms,,multiple_valid_bbox_variants,"1005,1126,1132,1234 | 1005,1126,1132,1240","1005,1126,1132,1240",3,127-127,108-114,0.947368,3,族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00085,224,R21B00118;R21B00122,R21C00118;R21C00122,nested_same_core_family,2,R21A00097,"1041,1210,1065,1240",available_shared_atoms,,common_core_only,"1041,1210,1065,1240 | 1011,1210,1065,1240","1005,1126,1132,1240",15,24-54,30-30,0.444444,15,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00086,224,R21B00119,R21C00119,single_member_family,1,R21A00098,"1011,1228,1029,1240",available_single_member_core,"1011,1228,1029,1240",single_consensus_bbox,"1011,1228,1029,1240","1005,1126,1132,1240",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00087,227,R21B00124;R21B00127,R21C00124;R21C00127,high_iou_boundary_family,2,R21A00099,"1017,1126,1132,1234",available_shared_atoms,,multiple_valid_bbox_variants,"1017,1126,1132,1234 | 1017,1126,1132,1240","1017,1126,1132,1240",3,115-115,108-114,0.947368,3,族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00088,227,R21B00125,R21C00125,single_member_family,1,R21A00100,"1047,1204,1077,1240",available_single_member_core,"1047,1204,1077,1240",single_consensus_bbox,"1047,1204,1077,1240","1017,1126,1132,1240",0,30-30,36-36,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00089,227,R21B00126,R21C00126,single_member_family,1,R21A00101,"1023,1228,1041,1240",available_single_member_core,"1023,1228,1041,1240",single_consensus_bbox,"1023,1228,1041,1240","1017,1126,1132,1240",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00090,228,R21B00128;R21B00129;R21B00131,R21C00128;R21C00129;R21C00131,nested_same_core_family,3,,"1053,1204,1083,1240",available_member_intersection,,common_core_only,"1023,1126,1132,1240 | 1053,1204,1083,1240","1023,1126,1132,1240",40.140379,30-109,36-114,0.086915,40.140379,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00091,228,R21B00130,R21C00130,single_member_family,1,R21A00104,"1023,1228,1041,1240",available_single_member_core,"1023,1228,1041,1240",single_consensus_bbox,"1023,1228,1041,1240","1023,1126,1132,1240",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00092,238,R21B00132,R21C00132,single_member_family,1,R21A00105,"1051,1135,1177,1255",available_single_member_core,"1051,1135,1177,1255",single_consensus_bbox,"1051,1135,1177,1255","1051,1135,1177,1255",0,126-126,120-120,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00093,238,R21B00133,R21C00133,single_member_family,1,R21A00106,"1063,1231,1075,1243",available_single_member_core,"1063,1231,1075,1243",single_consensus_bbox,"1063,1231,1075,1243","1051,1135,1177,1255",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00094,239,R21B00134,R21C00134,single_member_family,1,R21A00107,"1051,1135,1177,1255",available_single_member_core,"1051,1135,1177,1255",single_consensus_bbox,"1051,1135,1177,1255","1051,1135,1177,1255",0,126-126,120-120,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00095,239,R21B00135,R21C00135,single_member_family,1,R21A00108,"1087,1201,1111,1237",available_single_member_core,"1087,1201,1111,1237",single_consensus_bbox,"1087,1201,1111,1237","1051,1135,1177,1255",0,24-24,36-36,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00096,239,R21B00136,R21C00136,single_member_family,1,R21A00109,"1063,1231,1075,1243",available_single_member_core,"1063,1231,1075,1243",single_consensus_bbox,"1063,1231,1075,1243","1051,1135,1177,1255",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00097,243,R21B00137,R21C00137,single_member_family,1,R21A00110,"1063,1135,1195,1249",available_single_member_core,"1063,1135,1195,1249",single_consensus_bbox,"1063,1135,1195,1249","1063,1135,1195,1249",0,132-132,114-114,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00098,243,R21B00138,R21C00138,single_member_family,1,R21A00111,"1075,1231,1087,1243",available_single_member_core,"1075,1231,1087,1243",single_consensus_bbox,"1075,1231,1087,1243","1063,1135,1195,1249",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00099,243,R21B00139,R21C00139,single_member_family,1,R21A00112,"1177,1165,1195,1177",available_single_member_core,"1177,1165,1195,1177",single_consensus_bbox,"1177,1165,1195,1177","1063,1135,1195,1249",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00100,250,R21B00140,R21C00140,single_member_family,1,R21A00113,"1099,1135,1201,1261",available_single_member_core,"1099,1135,1201,1261",single_consensus_bbox,"1099,1135,1201,1261","1099,1135,1218,1261",0,102-102,126-126,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00101,250,R21B00141,R21C00141,single_member_family,1,R21A00114,"1183,1165,1201,1189",available_single_member_core,"1183,1165,1201,1189",single_consensus_bbox,"1183,1165,1201,1189","1099,1135,1218,1261",0,18-18,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00102,250,R21B00142,R21C00142,single_member_family,1,R21A00115,"1195,1135,1218,1153",available_single_member_core,"1195,1135,1218,1153",single_consensus_bbox,"1195,1135,1218,1153","1099,1135,1218,1261",0,23-23,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00103,259,R21B00143;R21B00146;R21B00147;R21B00149,R21C00143;R21C00146;R21C00147;R21C00149,high_iou_boundary_family,4,R21A00116,"1069,1135,1189,1255",available_shared_atoms,,multiple_valid_bbox_variants,"1069,1135,1189,1255 | 1069,1135,1218,1255","1069,1135,1218,1255",14.5,120-149,120-120,0.805369,14.5,族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00104,259,R21B00144;R21B00148,R21C00144;R21C00148,nested_same_core_family,2,R21A00117,"1189,1195,1218,1237",available_shared_atoms,,common_core_only,"1189,1195,1218,1237 | 1189,1141,1218,1237","1069,1135,1218,1255",27,29-29,42-96,0.4375,27,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00105,259,R21B00145,R21C00145,single_member_family,1,R21A00118,"1189,1141,1218,1189",available_single_member_core,"1189,1141,1218,1189",single_consensus_bbox,"1189,1141,1218,1189","1069,1135,1218,1255",0,29-29,48-48,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00106,260,R21B00150;R21B00153;R21B00154;R21B00156,R21C00150;R21C00153;R21C00154;R21C00156,nested_same_core_family,4,R21A00119,"1075,1135,1218,1195",available_shared_atoms,,common_core_only,"1075,1135,1218,1195 | 1075,1135,1218,1255 | 1075,1135,1218,1237","1075,1135,1218,1255",30,143-143,60-120,0.5,30,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00107,260,R21B00151;R21B00155,R21C00151;R21C00155,nested_same_core_family,2,R21A00120,"1117,1201,1189,1255",available_shared_atoms,,common_core_only,"1117,1201,1189,1255 | 1117,1201,1218,1255","1075,1135,1218,1255",14.5,72-101,54-54,0.712871,14.5,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00108,260,R21B00152,R21C00152,single_member_family,1,R21A00121,"1195,1201,1218,1237",available_single_member_core,"1195,1201,1218,1237",single_consensus_bbox,"1195,1201,1218,1237","1075,1135,1218,1255",0,23-23,36-36,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00109,262,R21B00157,R21C00157,single_member_family,1,R21A00122,"1075,1135,1218,1267",available_single_member_core,"1075,1135,1218,1267",single_consensus_bbox,"1075,1135,1218,1267","1075,1135,1218,1267",0,143-143,132-132,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00110,263,R21B00158,R21C00158,single_member_family,1,R21A00123,"1069,1135,1218,1261",available_single_member_core,"1069,1135,1218,1261",single_consensus_bbox,"1069,1135,1218,1261","1069,1135,1218,1261",0,149-149,126-126,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00111,269,R21B00159;R21B00161;R21B00165;R21B00166,R21C00159;R21C00161;R21C00165;R21C00166,nested_same_core_family,4,R21A00124,"1107,1138,1245,1246",available_high_frequency_core,,common_core_only,"1107,1138,1245,1246 | 1227,1192,1245,1240 | 1107,1138,1245,1258","1107,1138,1281,1258",64.621978,18-138,48-120,0.052174,64.621978,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00112,269,R21B00160,R21C00160,single_member_family,1,R21A00125,"1143,1204,1185,1258",available_single_member_core,"1143,1204,1185,1258",single_consensus_bbox,"1143,1204,1185,1258","1107,1138,1263,1258",0,42-42,54-54,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00113,269,R21B00162,R21C00162,single_member_family,1,R21A00127,"1251,1174,1263,1186",available_single_member_core,"1251,1174,1263,1186",single_consensus_bbox,"1251,1174,1263,1186","1107,1138,1281,1258",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00114,269,R21B00163,R21C00163,single_member_family,1,R21A00128,"1263,1138,1281,1150",available_single_member_core,"1263,1138,1281,1150",single_consensus_bbox,"1263,1138,1281,1150","1107,1138,1281,1246",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00115,269,R21B00164,R21C00164,single_member_family,1,R21A00129,"1245,1138,1257,1156",available_single_member_core,"1245,1138,1257,1156",single_consensus_bbox,"1245,1138,1257,1156","1107,1138,1281,1246",0,12-12,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00116,270,R21B00167;R21B00169;R21B00172;R21B00173;R21B00174,R21C00167;R21C00169;R21C00172;R21C00173;R21C00174,nested_same_core_family,5,R21A00130,"1107,1138,1263,1240",available_high_frequency_core,,common_core_only,"1107,1138,1263,1240 | 1233,1192,1245,1234 | 1107,1138,1263,1258 | 1107,1138,1275,1240","1107,1138,1287,1258",59.093147,12-168,42-120,0.026923,59.093147,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00117,270,R21B00168,R21C00168,single_member_family,1,R21A00131,"1137,1204,1185,1258",available_single_member_core,"1137,1204,1185,1258",single_consensus_bbox,"1137,1204,1185,1258","1107,1138,1275,1258",0,48-48,54-54,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00118,270,R21B00170,R21C00170,single_member_family,1,R21A00133,"1245,1162,1275,1186",available_single_member_core,"1245,1162,1275,1186",single_consensus_bbox,"1245,1162,1275,1186","1107,1138,1287,1258",0,30-30,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00119,270,R21B00171,R21C00171,single_member_family,1,R21A00134,"1269,1138,1287,1150",available_single_member_core,"1269,1138,1287,1150",single_consensus_bbox,"1269,1138,1287,1150","1107,1138,1287,1240",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00120,271,R21B00175;R21B00177;R21B00179;R21B00180;R21B00182,R21C00175;R21C00177;R21C00179;R21C00180;R21C00182,nested_same_core_family,5,R21A00135,"1107,1138,1287,1240",available_high_frequency_core,,common_core_only,"1107,1138,1287,1240 | 1233,1198,1251,1240 | 1107,1138,1287,1252","1107,1138,1287,1252",54.083269,18-180,42-114,0.036842,54.083269,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00121,271,R21B00176;R21B00181,R21C00176;R21C00181,nested_same_core_family,2,R21A00136,"1143,1210,1197,1252",available_shared_atoms,,common_core_only,"1143,1210,1197,1252 | 1143,1198,1251,1252","1107,1138,1287,1252",27.658633,54-108,42-54,0.388889,27.658633,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00122,271,R21B00178,R21C00178,single_member_family,1,R21A00138,"1245,1174,1275,1192",available_single_member_core,"1245,1174,1275,1192",single_consensus_bbox,"1245,1174,1275,1192","1107,1138,1287,1252",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00123,272,R21B00183;R21B00189,R21C00183;R21C00189,high_iou_boundary_family,2,R21A00139,"1107,1138,1251,1240",available_shared_atoms,,multiple_valid_bbox_variants,"1107,1138,1251,1240 | 1107,1138,1251,1270","1107,1138,1287,1270",15,144-144,102-132,0.772727,15,族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00124,272,R21B00184,R21C00184,single_member_family,1,R21A00140,"1143,1210,1197,1270",available_single_member_core,"1143,1210,1197,1270",single_consensus_bbox,"1143,1210,1197,1270","1107,1138,1281,1270",0,54-54,60-60,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00125,272,R21B00185;R21B00190,R21C00185;R21C00190,nested_same_core_family,2,R21A00141,"1239,1198,1257,1240",available_shared_atoms,,common_core_only,"1239,1198,1257,1240 | 1107,1138,1257,1240","1107,1138,1287,1270",72.498276,18-150,42-102,0.049412,72.498276,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00126,272,R21B00186,R21C00186,single_member_family,1,R21A00142,"1257,1168,1281,1192",available_single_member_core,"1257,1168,1281,1192",single_consensus_bbox,"1257,1168,1281,1192","1107,1138,1287,1270",0,24-24,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00127,272,R21B00187,R21C00187,single_member_family,1,R21A00143,"1257,1138,1287,1156",available_single_member_core,"1257,1138,1287,1156",single_consensus_bbox,"1257,1138,1287,1156","1107,1138,1287,1240",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00128,272,R21B00188,R21C00188,single_member_family,1,R21A00144,"1227,1144,1251,1156",available_single_member_core,"1227,1144,1251,1156",single_consensus_bbox,"1227,1144,1251,1156","1107,1138,1287,1270",0,24-24,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00129,273,R21B00191;R21B00192;R21B00195,R21C00191;R21C00192;R21C00195,nested_same_core_family,3,,"1241,1194,1259,1236",available_member_intersection,,common_core_only,"1115,1140,1259,1266 | 1241,1194,1259,1236","1115,1140,1289,1266",64.132675,18-144,42-126,0.041667,64.132675,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00130,273,R21B00193,R21C00193,single_member_family,1,R21A00147,"1265,1170,1283,1188",available_single_member_core,"1265,1170,1283,1188",single_consensus_bbox,"1265,1170,1283,1188","1115,1140,1289,1266",0,18-18,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00131,273,R21B00194,R21C00194,single_member_family,1,R21A00148,"1259,1140,1289,1152",available_single_member_core,"1259,1140,1289,1152",single_consensus_bbox,"1259,1140,1289,1152","1115,1140,1289,1266",0,30-30,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00132,276,R21B00196;R21B00197;R21B00201;R21B00202;R21B00203,R21C00196;R21C00197;R21C00201;R21C00202;R21C00203,nested_same_core_family,5,,"1157,1212,1211,1242",available_member_intersection,,common_core_only,"1115,1140,1271,1242 | 1157,1212,1211,1242 | 1157,1194,1271,1242","1115,1140,1283,1266",37.107951,54-156,30-102,0.10181,37.107951,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00133,276,R21B00198,R21C00198,single_member_family,1,R21A00151,"1253,1194,1271,1236",available_single_member_core,"1253,1194,1271,1236",single_consensus_bbox,"1253,1194,1271,1236","1115,1140,1283,1266",0,18-18,42-42,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00134,276,R21B00199,R21C00199,single_member_family,1,R21A00152,"1271,1140,1283,1152",available_single_member_core,"1271,1140,1283,1152",single_consensus_bbox,"1271,1140,1283,1152","1115,1140,1283,1242",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00135,276,R21B00200,R21C00200,single_member_family,1,R21A00153,"1175,1254,1211,1266",available_single_member_core,"1175,1254,1211,1266",single_consensus_bbox,"1175,1254,1211,1266","1115,1140,1271,1266",0,36-36,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
