family_id,sar_frame,family_member_bbox_variants,family_common_core_bbox,family_common_core_status,family_conservative_bbox,family_conservative_bbox_status,family_uncertain_envelope,family_boundary_reason_cn
R21R1F00119,270,"1269,1138,1287,1150","1269,1138,1287,1150",available_single_member_core,"1269,1138,1287,1150",single_consensus_bbox,"1107,1138,1287,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00120,271,"1107,1138,1287,1240 | 1233,1198,1251,1240 | 1107,1138,1287,1252","1107,1138,1287,1240",available_high_frequency_core,,common_core_only,"1107,1138,1287,1252",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00121,271,"1143,1210,1197,1252 | 1143,1198,1251,1252","1143,1210,1197,1252",available_shared_atoms,,common_core_only,"1107,1138,1287,1252",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00122,271,"1245,1174,1275,1192","1245,1174,1275,1192",available_single_member_core,"1245,1174,1275,1192",single_consensus_bbox,"1107,1138,1287,1252",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00123,272,"1107,1138,1251,1240 | 1107,1138,1251,1270","1107,1138,1251,1240",available_shared_atoms,,multiple_valid_bbox_variants,"1107,1138,1287,1270",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00124,272,"1143,1210,1197,1270","1143,1210,1197,1270",available_single_member_core,"1143,1210,1197,1270",single_consensus_bbox,"1107,1138,1281,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00125,272,"1239,1198,1257,1240 | 1107,1138,1257,1240","1239,1198,1257,1240",available_shared_atoms,,common_core_only,"1107,1138,1287,1270",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00126,272,"1257,1168,1281,1192","1257,1168,1281,1192",available_single_member_core,"1257,1168,1281,1192",single_consensus_bbox,"1107,1138,1287,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00127,272,"1257,1138,1287,1156","1257,1138,1287,1156",available_single_member_core,"1257,1138,1287,1156",single_consensus_bbox,"1107,1138,1287,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00128,272,"1227,1144,1251,1156","1227,1144,1251,1156",available_single_member_core,"1227,1144,1251,1156",single_consensus_bbox,"1107,1138,1287,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00129,273,"1115,1140,1259,1266 | 1241,1194,1259,1236","1241,1194,1259,1236",available_member_intersection,,common_core_only,"1115,1140,1289,1266",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00130,273,"1265,1170,1283,1188","1265,1170,1283,1188",available_single_member_core,"1265,1170,1283,1188",single_consensus_bbox,"1115,1140,1289,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00131,273,"1259,1140,1289,1152","1259,1140,1289,1152",available_single_member_core,"1259,1140,1289,1152",single_consensus_bbox,"1115,1140,1289,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00132,276,"1115,1140,1271,1242 | 1157,1212,1211,1242 | 1157,1194,1271,1242","1157,1212,1211,1242",available_member_intersection,,common_core_only,"1115,1140,1283,1266",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00133,276,"1253,1194,1271,1236","1253,1194,1271,1236",available_single_member_core,"1253,1194,1271,1236",single_consensus_bbox,"1115,1140,1283,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00134,276,"1271,1140,1283,1152","1271,1140,1283,1152",available_single_member_core,"1271,1140,1283,1152",single_consensus_bbox,"1115,1140,1283,1242",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00135,276,"1175,1254,1211,1266","1175,1254,1211,1266",available_single_member_core,"1175,1254,1211,1266",single_consensus_bbox,"1115,1140,1271,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00136,278,"1121,1140,1277,1236 | 1121,1140,1277,1266","1121,1140,1277,1236",available_shared_atoms,,multiple_valid_bbox_variants,"1121,1140,1289,1266",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00137,278,"1163,1212,1217,1266","1163,1212,1217,1266",available_single_member_core,"1163,1212,1217,1266",single_consensus_bbox,"1121,1140,1277,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00138,278,"1277,1140,1289,1158","1277,1140,1289,1158",available_single_member_core,"1277,1140,1289,1158",single_consensus_bbox,"1121,1140,1289,1236",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00139,279,"1115,1140,1283,1236 | 1115,1140,1283,1266","1115,1140,1283,1236",available_shared_atoms,,multiple_valid_bbox_variants,"1115,1140,1313,1266",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00140,279,"1163,1212,1217,1266","1163,1212,1217,1266",available_single_member_core,"1163,1212,1217,1266",single_consensus_bbox,"1115,1140,1283,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00141,279,"1259,1140,1289,1158","1259,1140,1289,1158",available_single_member_core,"1259,1140,1289,1158",single_consensus_bbox,"1115,1140,1313,1236",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00142,279,"1289,1170,1313,1200","1289,1170,1313,1200",available_single_member_core,"1289,1170,1313,1200",single_consensus_bbox,"1115,1140,1313,1236",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00143,280,"1115,1140,1277,1236 | 1115,1140,1277,1266","1115,1140,1277,1236",available_shared_atoms,,multiple_valid_bbox_variants,"1115,1140,1277,1266",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00144,280,"1163,1212,1223,1266","1163,1212,1223,1266",available_single_member_core,"1163,1212,1223,1266",single_consensus_bbox,"1115,1140,1277,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00145,280,"1265,1146,1277,1158","1265,1146,1277,1158",available_single_member_core,"1265,1146,1277,1158",single_consensus_bbox,"1115,1140,1277,1236",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00146,281,"1115,1140,1283,1236 | 1271,1200,1283,1230 | 1115,1140,1283,1266","1115,1140,1283,1236",available_high_frequency_core,,common_core_only,"1115,1140,1301,1266",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00147,281,"1169,1212,1223,1266 | 1169,1200,1283,1266","1169,1212,1223,1266",available_shared_atoms,,common_core_only,"1115,1140,1301,1266",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00148,281,"1265,1140,1301,1158","1265,1140,1301,1158",available_single_member_core,"1265,1140,1301,1158",single_consensus_bbox,"1115,1140,1301,1236",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00149,284,"1115,1140,1301,1236 | 1115,1140,1301,1266","1115,1140,1301,1236",available_shared_atoms,,multiple_valid_bbox_variants,"1115,1140,1331,1266",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00150,284,"1175,1206,1235,1266","1175,1206,1235,1266",available_single_member_core,"1175,1206,1235,1266",single_consensus_bbox,"1115,1140,1301,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00151,284,"1283,1200,1289,1218","1283,1200,1289,1218",available_single_member_core,"1283,1200,1289,1218",single_consensus_bbox,"1115,1140,1331,1266",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00152,284,"1301,1140,1307,1146","1301,1140,1307,1146",available_single_member_core,"1301,1140,1307,1146",single_consensus_bbox,"1115,1140,1331,1236",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00153,284,"1319,1194,1331,1200","1319,1194,1331,1200",available_single_member_core,"1319,1194,1331,1200",single_consensus_bbox,"1115,1140,1331,1236",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00154,288,"1146,1138,1308,1228 | 1146,1138,1308,1240","1146,1138,1308,1228",available_shared_atoms,,multiple_valid_bbox_variants,"1146,1138,1308,1270",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00155,288,"1200,1192,1224,1240","1200,1192,1224,1240",available_single_member_core,"1200,1192,1224,1240",single_consensus_bbox,"1146,1138,1308,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00156,288,"1230,1228,1248,1240","1230,1228,1248,1240",available_single_member_core,"1230,1228,1248,1240",single_consensus_bbox,"1146,1138,1308,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00157,288,"1170,1246,1206,1270","1170,1246,1206,1270",available_single_member_core,"1170,1246,1206,1270",single_consensus_bbox,"1146,1138,1308,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00158,289,"1146,1138,1308,1228 | 1146,1138,1308,1240 | 1146,1138,1308,1270","1146,1138,1308,1228",available_shared_atoms,,common_core_only,"1146,1138,1344,1270",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00159,289,"1200,1210,1224,1240 | 1146,1210,1224,1270","1200,1210,1224,1240",available_shared_atoms,,common_core_only,"1146,1138,1308,1270",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00160,289,"1146,1246,1206,1270","1146,1246,1206,1270",available_single_member_core,"1146,1246,1206,1270",single_consensus_bbox,"1146,1138,1308,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00161,289,"1242,1228,1248,1240","1242,1228,1248,1240",available_single_member_core,"1242,1228,1248,1240",single_consensus_bbox,"1146,1138,1308,1270",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00162,289,"1320,1138,1344,1150","1320,1138,1344,1150",available_single_member_core,"1320,1138,1344,1150",single_consensus_bbox,"1146,1138,1344,1228",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00163,290,"1146,1138,1314,1228 | 1146,1138,1314,1240 | 1146,1138,1314,1282","1146,1138,1314,1228",available_shared_atoms,,common_core_only,"1146,1138,1314,1282",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00164,290,"1206,1192,1236,1240 | 1146,1192,1236,1282","1206,1192,1236,1240",available_shared_atoms,,common_core_only,"1146,1138,1314,1282",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00165,290,"1146,1246,1206,1282","1146,1246,1206,1282",available_single_member_core,"1146,1246,1206,1282",single_consensus_bbox,"1146,1138,1314,1282",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
