response_unit_id,sar_frame,range_p80_width_m,azimuth_p80_width_m,yaw_proxy_shape_class,vehicle_scale_yaw_feasible,best_yaw_deg,yaw_feasible_interval_deg,best_scale_length_m,best_scale_width_m,scale_yaw_residual_m,min_extra_blur_margin_m,calibration_status,interpretation_boundary_cn
R21B00130,228,0.36556,0.234234,range_dominant,false,0,,3,1.4,2.880848,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00131,228,2.554858,2.392611,near_isotropic,true,0,0-14;16-21;87-93;159-164;166-179,3,2.4,0.445204,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00132,238,2.746026,2.487398,near_isotropic,true,0,0-49;84-96;131-179,3,2.5,0.254286,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00133,238,0.282594,0.169509,range_dominant,false,0,,3,1.4,2.983019,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00134,239,2.735841,2.441902,near_isotropic,true,0,0-42;86-94;138-179,3,2.4,0.267462,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00135,239,0.579134,0.642357,near_isotropic,false,90,,3,1.4,2.496459,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00136,239,0.242258,0.218008,near_isotropic,false,0,,3,1.4,3.000375,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00137,243,2.643658,2.572385,near_isotropic,true,0,0-65;80-100;115-179,3,2.6,0.35741,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00138,243,0.205322,0.247428,near_isotropic,false,90,,3,1.4,3.000651,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00139,243,0.223595,0.382463,azimuth_dominant,false,90,,3,1.4,2.869743,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00140,250,2.710396,2.153862,range_dominant,true,0,0-26;154-179,3,2.2,0.293256,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00141,250,0.459658,0.392389,near_isotropic,false,0,,3,1.4,2.732877,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00142,250,0.305038,0.434064,azimuth_dominant,false,90,,3,1.4,2.789798,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00143,259,2.749198,1.877299,range_dominant,true,0,0-21;159-179,3,1.9,0.251828,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00144,259,0.775537,0.572803,range_dominant,false,0,,3,1.4,2.373287,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00145,259,1.135832,0.632667,range_dominant,false,0,,3,1.4,2.015918,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00146,259,2.715698,2.520618,near_isotropic,true,0,0-53;83-97;127-179,3,2.5,0.285049,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00147,259,2.715698,2.520618,near_isotropic,true,0,0-53;83-97;127-179,3,2.5,0.285049,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00148,259,2.20454,0.857385,range_dominant,false,0,,3,1.4,0.962906,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00149,259,2.715698,2.520618,near_isotropic,true,0,0-53;83-97;127-179,3,2.5,0.285049,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00150,260,1.22874,2.705488,azimuth_dominant,true,90,82-98,3,1.4,0.340687,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00151,260,0.993754,1.420166,azimuth_dominant,false,90,,3,1.4,1.63123,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00152,260,0.685004,0.478999,range_dominant,false,0,,3,1.4,2.491475,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00153,260,2.741142,2.570695,near_isotropic,true,0,0-63;81-99;117-179,3,2.6,0.260511,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00154,260,2.474661,2.559195,near_isotropic,true,90,0-6;67-69;79-101;111-113;174-179,3,2.5,0.441533,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00155,260,1.165481,2.045266,azimuth_dominant,false,90,,3,1.4,0.983116,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00156,260,2.741142,2.570695,near_isotropic,true,0,0-63;81-99;117-179,3,2.6,0.260511,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00157,262,2.932663,2.572016,near_isotropic,true,0,0-59;82-98;121-179,3,2.6,0.07292,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00158,263,2.780685,2.498807,near_isotropic,true,0,0-52;84-96;128-179,3,2.5,0.219319,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00159,269,2.57914,2.732458,near_isotropic,true,90,0-9;26-154;171-179,3,2.6,0.268354,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00160,269,0.844909,0.844789,near_isotropic,false,0,,3,1.4,2.225461,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00161,269,0.707531,0.579667,near_isotropic,false,0,,3,1.4,2.434823,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00162,269,0.235819,0.259299,near_isotropic,false,90,,3,1.4,2.977711,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00163,269,0.250947,0.31098,near_isotropic,false,90,,3,1.4,2.924235,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00164,269,0.296289,0.246243,near_isotropic,false,0,,3,1.4,2.939593,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00165,269,2.756482,2.728225,near_isotropic,true,0,0-179,3,2.6,0.275214,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00166,269,2.57914,2.732458,near_isotropic,true,90,0-9;26-154;171-179,3,2.6,0.268354,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00167,270,2.487526,2.983823,near_isotropic,true,90,0-5;38-142;175-179,3,2.5,0.020428,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00168,270,0.896644,0.968154,near_isotropic,false,90,,3,1.4,2.093266,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00169,270,0.607846,0.54334,near_isotropic,false,0,,3,1.4,2.540919,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00170,270,0.494939,0.615351,near_isotropic,false,90,,3,1.4,2.550625,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00171,270,0.257923,0.324499,azimuth_dominant,false,90,,3,1.4,2.909062,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00172,270,2.78429,2.980052,near_isotropic,true,88,0-179,3,2.6,0.135793,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00173,270,2.487526,2.983823,near_isotropic,true,90,0-5;38-142;175-179,3,2.5,0.020428,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00174,270,2.522592,3.162013,azimuth_dominant,true,86,0-4;38-142;176-179,3,2.3,0.020905,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00175,271,2.59433,3.377653,azimuth_dominant,true,68,39-141,3,1.6,0.013389,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00176,271,0.595022,1.011371,azimuth_dominant,false,90,,3,1.4,2.145375,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00177,271,0.593914,0.568583,near_isotropic,false,0,,3,1.4,2.545684,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00178,271,0.412461,0.536741,azimuth_dominant,false,90,,3,1.4,2.653842,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00179,271,2.818623,3.366093,near_isotropic,true,86,1-15;30-150;165-179,3.2,2.6,0.007678,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00180,271,2.59433,3.377653,azimuth_dominant,true,68,39-141,3,1.6,0.013389,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00181,271,1.591733,2.167215,azimuth_dominant,false,90,,3,1.6,0.832826,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00182,271,2.818623,3.366093,near_isotropic,true,86,1-15;30-150;165-179,3.2,2.6,0.007678,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00183,272,2.462717,2.817067,near_isotropic,true,90,0-5;41-139;175-179,3,2.5,0.186694,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00184,272,1.19567,1.199061,near_isotropic,false,90,,3,1.4,1.812493,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00185,272,0.595342,0.588187,near_isotropic,false,0,,3,1.4,2.537996,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00186,272,0.385831,0.520215,azimuth_dominant,false,90,,3,1.4,2.679155,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00187,272,0.51365,0.593045,near_isotropic,false,90,,3,1.4,2.564965,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00188,272,0.304985,0.464632,azimuth_dominant,false,90,,3,1.4,2.761729,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00189,272,2.974316,2.827437,near_isotropic,true,2,0-179,3,2.6,0.16908,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00190,272,2.45883,2.974273,near_isotropic,true,90,0-4;40-140;176-179,3,2.5,0.048547,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00191,273,2.902438,2.861876,near_isotropic,true,2,0-179,3,2.6,0.244903,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00192,273,0.646221,0.575785,near_isotropic,false,0,,3,1.4,2.493913,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00193,273,0.308711,0.45475,azimuth_dominant,false,90,,3,1.4,2.769333,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00194,273,0.455283,0.611213,azimuth_dominant,false,90,,3,1.4,2.568812,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00195,273,2.902438,2.861876,near_isotropic,true,2,0-179,3,2.6,0.244903,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00196,276,2.430005,3.208395,azimuth_dominant,true,84,43-137,3,2.1,0.028426,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00197,276,0.514908,1.125387,azimuth_dominant,false,90,,3,1.4,2.073056,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00198,276,0.666294,0.62594,near_isotropic,false,0,,3,1.4,2.45873,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00199,276,0.166483,0.266291,azimuth_dominant,false,90,,3,1.4,2.999121,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00200,276,0.424173,0.682009,azimuth_dominant,false,90,,3,1.4,2.515019,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00201,276,2.430005,3.208395,azimuth_dominant,true,84,43-137,3,2.1,0.028426,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00202,276,2.430005,3.208395,azimuth_dominant,true,84,43-137,3,2.1,0.028426,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00203,276,1.822221,2.188603,near_isotropic,false,90,,3,1.8,0.811701,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00204,278,2.112273,3.270127,azimuth_dominant,true,84,56-124,3.1,1.8,0.002171,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00205,278,1.110868,1.172685,near_isotropic,false,90,,3,1.4,1.850048,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00206,278,0.345609,0.271564,range_dominant,false,0,,3,1.4,2.884295,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00207,278,2.990234,3.180474,near_isotropic,true,50,0-179,3,1.4,0.020509,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00208,279,2.177597,3.465938,azimuth_dominant,true,77,55-125,3.2,1.5,0.011193,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00209,279,1.101968,1.120988,near_isotropic,false,90,,3,1.4,1.902501,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00210,279,0.531897,0.558249,near_isotropic,false,90,,3,1.4,2.591476,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00211,279,0.44395,0.701753,azimuth_dominant,false,90,,3,1.4,2.489171,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00212,279,3.061984,3.370182,near_isotropic,true,54,1-179,3,1.6,0.00498,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00213,280,2.121683,3.448809,azimuth_dominant,true,76,56-124,3.2,1.4,0.012048,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00214,280,1.11476,1.158755,near_isotropic,false,90,,3,1.4,1.863208,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00215,280,0.185189,0.282084,azimuth_dominant,false,90,,3,1.4,2.977051,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00216,280,3.013433,3.347792,near_isotropic,true,82,0-179,3,2.6,0.026063,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00217,281,2.189434,3.572069,azimuth_dominant,true,85,55-125,3.4,1.9,0.019414,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00218,281,1.12486,1.095566,near_isotropic,false,0,,3,1.4,1.899692,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00219,281,0.432769,0.505424,near_isotropic,false,90,,3,1.4,2.675527,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00220,281,0.567585,0.62493,near_isotropic,false,90,,3,1.4,2.516719,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00221,281,3.025488,3.424727,near_isotropic,true,79,2-178,3,2.5,0.002997,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00222,281,2.189434,3.572069,azimuth_dominant,true,85,55-125,3.4,1.9,0.019414,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00223,281,2.26576,1.959042,near_isotropic,true,0,0,3,2,0.735381,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00224,281,3.025488,3.424727,near_isotropic,true,79,2-178,3,2.5,0.002997,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00225,284,2.22219,3.843956,azimuth_dominant,true,85,59-121,3.7,1.9,0.010266,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00226,284,1.319176,1.129526,near_isotropic,false,0,,3,1.4,1.702447,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00227,284,0.22185,0.261298,near_isotropic,false,90,,3,1.4,2.981363,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00228,284,0.126497,0.09842,range_dominant,false,0,,3,1.4,3.154541,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00229,284,0.136671,0.1581,near_isotropic,false,90,,3,1.4,3.110048,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00230,284,3.174428,3.676839,near_isotropic,true,71,7-173,3.1,2.3,0.01001,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00231,288,1.967405,3.314171,azimuth_dominant,true,79,60-120,3.1,1.4,0.00431,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00232,288,0.723039,0.659554,near_isotropic,false,0,,3,1.4,2.394329,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00233,288,0.231518,0.29279,azimuth_dominant,false,90,,3,1.4,2.948616,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00234,288,0.511706,0.753826,azimuth_dominant,false,90,,3,1.4,2.415443,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00235,288,2.491149,3.230464,azimuth_dominant,true,84,40-140,3,2.2,0.019866,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00236,289,1.88615,3.342811,azimuth_dominant,true,83,63-117,3.2,1.5,0.017735,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00237,289,0.483666,0.507372,near_isotropic,false,90,,3,1.4,2.655723,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00238,289,0.635986,1.330264,azimuth_dominant,false,90,,3,1.4,1.836229,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00239,289,0.155389,0.150325,near_isotropic,false,0,,3,1.4,3.107008,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00240,289,0.460558,0.414444,near_isotropic,false,0,,3,1.4,2.723984,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00241,289,2.431341,3.28048,azimuth_dominant,true,81,43-137,3,2,0.014093,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00242,289,3.208921,3.147295,near_isotropic,true,43,0-179,3,1.5,0.00919,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00243,289,1.493973,1.614152,near_isotropic,false,90,,3,1.5,1.385861,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00244,290,2.101877,3.476673,azimuth_dominant,true,83,57-123,3.3,1.7,0.013717,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00245,290,0.758246,0.760641,near_isotropic,false,90,,3,1.4,2.329501,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00246,290,0.804453,1.281616,azimuth_dominant,false,90,,3,1.4,1.818659,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00247,290,2.457848,3.390779,azimuth_dominant,true,68,44-136,3.1,1.4,0.008079,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00248,290,3.538813,3.216441,near_isotropic,true,38,0-86;94-179,3.3,1.5,0.015135,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00249,290,1.97626,1.842069,near_isotropic,false,0,,3,1.8,1.024604,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00250,290,3.538813,3.216441,near_isotropic,true,38,0-86;94-179,3.3,1.5,0.015135,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
