component_card_id,case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,alpha_deg,beta_deg,radius_px,theta_deg,optical_pose_review,identifiability_status,component_role,component_instance_label,source_role,source_geometry_type,source_points_sar_px,overlay_status,raw_gray_visibility,display_dependency,vehicle_uv_centroid_px,vehicle_uv_range_px,radar_rhotau_centroid_px,main_orientation_to_u_deg,approx_length_px,approx_width_px,approx_length_m_grid,approx_width_m_grid,touches_gt_boundary,crosses_gt_boundary,extends_beyond_vehicle_length,cross_frame_correspondence,vehicle_body_explanation,vehicle_ground_explanation,background_explanation,responsibility_status,evidence_figure,source_note,gt_usage_boundary
CC_GM_RM017_PV002_S0350_UMS_0,ELIG_GM_RM017_PV002_S0350,GM_RM017,GM_RM017:PV002,168,350,82.910613,7.089387,327.010566,4.089387,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1277.320,998.422;1375.320,994.422;1387.320,1092.422;1287.320,1088.422",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[152.247,47.032]","u[100.177,205.107];v[-0.758,98.870]","[27.883,-156.888]",34.355,104.930,99.628,3.148,2.989,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0360_NSB_0,ELIG_GM_RM017_PV003_S0360,GM_RM017,GM_RM017:PV003,173,360,83.445128,6.554872,395.464283,-10.554872,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"963.560,965.827;1019.560,963.827;1073.560,957.827;1133.560,957.827;1179.560,970.827;1169.560,983.827;1103.560,977.827;1033.560,980.827;963.560,974.827",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[-12.411,27.757]","u[-120.015,95.738];v[15.403,48.036]","[26.159,15.498]",4.819,215.753,32.633,6.473,0.979,true,true,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,short sloped main response with a separate right-lower hot region; right-lower hot region is unresolved/background-adjacent.,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0360_OHS_0,ELIG_GM_RM017_PV003_S0360,GM_RM017,GM_RM017:PV003,173,360,83.445128,6.554872,395.464283,-10.554872,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"933.560,891.827;976.560,886.827;1013.560,899.827;1009.560,915.827;961.560,911.827",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-99.518,-47.658]","u[-144.152,-64.905];v[-62.190,-30.959]","[-58.707,93.427]",13.595,79.247,31.231,2.377,0.937,false,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0360_RBC_0,ELIG_GM_RM017_PV003_S0360,GM_RM017,GM_RM017:PV003,173,360,83.445128,6.554872,395.464283,-10.554872,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1127.560,939.827;1159.560,941.827;1165.560,1027.827;1135.560,1039.827",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[62.167,49.958]","u[46.027,77.810];v[1.214,101.528]","[56.728,-56.057]",89.716,31.783,100.314,0.953,3.009,true,true,false,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0360_UMS_0,ELIG_GM_RM017_PV003_S0360,GM_RM017,GM_RM017:PV003,173,360,83.445128,6.554872,395.464283,-10.554872,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1185.560,989.827;1269.560,993.827;1275.560,1063.827;1191.560,1053.827",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[142.812,93.690]","u[100.398,185.017];v[55.138,135.236]","[109.381,-131.184]",22.941,84.619,80.098,2.539,2.403,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0364_NSB_0,ELIG_GM_RM017_PV003_S0364,GM_RM017,GM_RM017:PV003,175,364,89.971606,0.028394,391.511067,-6.028394,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"984.883,969.254;1038.883,967.254;1092.883,963.254;1154.883,962.254;1224.883,969.254;1238.883,983.254;1176.883,987.254;1100.883,983.254;986.883,977.254",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[-5.148,31.970]","u[-130.226,120.920];v[14.467,54.941]","[31.968,5.164]",7.421,251.145,40.474,7.534,1.214,true,true,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,main response grows and approaches fan arc; central vertical artifact begins to cross the target-like band.,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0364_OHS_0,ELIG_GM_RM017_PV003_S0364,GM_RM017,GM_RM017:PV003,175,364,89.971606,0.028394,391.511067,-6.028394,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"962.883,893.254;1008.883,889.254;1050.883,902.254;1046.883,918.254;990.883,914.254",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-96.297,-48.129]","u[-144.161,-57.584];v[-63.416,-29.773]","[-48.177,96.273]",14.811,86.577,33.643,2.597,1.009,false,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0364_RBC_0,ELIG_GM_RM017_PV003_S0364,GM_RM017,GM_RM017:PV003,175,364,89.971606,0.028394,391.511067,-6.028394,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1122.883,929.254;1160.883,933.254;1166.883,1049.254;1134.883,1057.254",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[27.986,54.222]","u[9.754,48.573];v[-10.889,117.664]","[54.236,-27.959]",88.370,38.819,128.553,1.165,3.857,false,true,false,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0364_UMS_0,ELIG_GM_RM017_PV003_S0364,GM_RM017,GM_RM017:PV003,175,364,89.971606,0.028394,391.511067,-6.028394,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1218.883,983.254;1306.883,985.254;1316.883,1067.254;1228.883,1059.254",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[145.527,98.250]","u[101.029,189.712];v[52.850,146.634]","[98.322,-145.479]",34.735,88.683,93.784,2.660,2.814,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0372_NSB_0,ELIG_GM_RM017_PV003_S0372,GM_RM017,GM_RM017:PV003,179,372,85.071268,4.928732,389.376596,1.928732,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1021.105,981.444;1079.105,984.444;1139.105,991.444;1203.105,990.444;1271.105,983.444;1331.105,973.444;1341.105,989.444;1283.105,1003.444;1209.105,1011.444;1125.105,1009.444;1023.105,997.444",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[14.403,51.734]","u[-147.893,171.249];v[32.304,72.102]","[50.305,-18.795]",2.285,319.143,39.798,9.574,1.194,true,false,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,strongest PV003 state; wide lower band is crossed by a vertical line and contaminated by right-lower clutter.,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0372_OHS_0,ELIG_GM_RM017_PV003_S0372,GM_RM017,GM_RM017:PV003,179,372,85.071268,4.928732,389.376596,1.928732,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1013.105,891.444;1053.105,883.444;1093.105,897.444;1089.105,916.444;1039.105,913.444",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-107.304,-46.680]","u[-151.172,-71.596];v[-63.887,-29.048]","[-37.288,110.918]",12.246,79.576,34.839,2.387,1.045,false,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0372_RBC_0,ELIG_GM_RM017_PV003_S0372,GM_RM017,GM_RM017:PV003,179,372,85.071268,4.928732,389.376596,1.928732,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1133.105,921.444;1171.105,921.444;1177.105,1061.444;1145.105,1067.444",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-13.181,50.880]","u[-32.907,5.041];v[-21.752,124.676]","[51.824,8.761]",89.455,37.948,146.428,1.138,4.393,false,true,false,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0372_ECC_1,ELIG_GM_RM017_PV003_S0372,GM_RM017,GM_RM017:PV003,179,372,85.071268,4.928732,389.376596,1.928732,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,ENDPOINT_EXTERNAL_CLUTTER_CLUSTER,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1263.105,963.444;1343.105,965.444;1357.105,1037.444;1271.105,1027.444",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[138.323,64.327]","u[94.717,184.715];v[26.994,105.812]","[52.205,-143.338]",26.520,89.998,78.818,2.700,2.365,false,false,true,intermittent external cluster; no physical identity claim,vehicle endpoint attribution weak,ground interaction possible,external clutter/background is competitive,MIXED_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0372_UMS_0,ELIG_GM_RM017_PV003_S0372,GM_RM017,GM_RM017:PV003,179,372,85.071268,4.928732,389.376596,1.928732,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1273.105,959.444;1365.105,959.444;1377.105,1057.444;1283.105,1045.444",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[153.935,72.155]","u[104.913,203.641];v[23.523,126.832]","[58.663,-159.565]",45.868,98.729,103.309,2.962,3.099,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0378_NSB_0,ELIG_GM_RM017_PV003_S0378,GM_RM017,GM_RM017:PV003,181,378,80.868955,9.131045,387.386767,6.131045,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1073.374,987.429;1135.374,991.429;1195.374,996.429;1261.374,993.429;1321.374,983.429;1337.374,997.429;1283.374,1011.429;1213.374,1017.429;1137.374,1013.429;1075.374,1001.429",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[5.168,54.245]","u[-124.031,139.084];v[35.557,72.843]","[52.737,-13.711]",2.712,263.115,37.286,7.893,1.119,false,false,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,"response shortens and shifts right; upper component weakens, background controls remain bright.","research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0378_OHS_0,ELIG_GM_RM017_PV003_S0378,GM_RM017,GM_RM017:PV003,181,378,80.868955,9.131045,387.386767,6.131045,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1050.374,901.429;1093.374,895.429;1129.374,907.429;1125.374,923.429;1075.374,921.429",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-98.599,-40.816]","u[-142.499,-63.921];v[-55.270,-25.633]","[-24.652,103.827]",10.243,78.578,29.636,2.357,0.889,false,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0378_RBC_0,ELIG_GM_RM017_PV003_S0378,GM_RM017,GM_RM017:PV003,181,378,80.868955,9.131045,387.386767,6.131045,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1139.374,933.429;1175.374,935.429;1179.374,1057.429;1147.374,1063.429",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-37.674,50.097]","u[-55.295,-19.449];v[-14.914,115.326]","[55.441,29.246]",89.705,35.846,130.241,1.075,3.907,false,true,false,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0378_ECC_1,ELIG_GM_RM017_PV003_S0378,GM_RM017,GM_RM017:PV003,181,378,80.868955,9.131045,387.386767,6.131045,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,ENDPOINT_EXTERNAL_CLUTTER_CLUSTER,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1291.374,961.429;1369.374,965.429;1385.374,1039.429;1299.374,1029.429",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[138.007,60.806]","u[95.031,184.820];v[21.002,103.815]","[38.135,-145.907]",32.087,89.789,82.813,2.694,2.484,false,false,true,intermittent external cluster; no physical identity claim,vehicle endpoint attribution weak,ground interaction possible,external clutter/background is competitive,MIXED_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0378_UMS_0,ELIG_GM_RM017_PV003_S0378,GM_RM017,GM_RM017:PV003,181,378,80.868955,9.131045,387.386767,6.131045,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1299.374,957.429;1393.374,959.429;1405.374,1055.429;1307.374,1043.429",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[152.725,66.584]","u[103.229,203.955];v[17.426,120.840]","[41.504,-161.356]",39.570,100.726,103.413,3.022,3.102,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0384_NSB_0,ELIG_GM_RM017_PV003_S0384,GM_RM017,GM_RM017:PV003,184,384,75.720307,14.279693,396.485496,11.279693,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1137.552,983.773;1193.552,988.773;1251.552,991.773;1313.552,984.773;1335.552,995.773;1285.552,1009.773;1215.552,1011.773;1139.552,997.773",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[-0.316,53.807]","u[-96.069,101.031];v[37.023,70.733]","[52.223,-12.965]",4.076,197.101,33.710,5.913,1.011,false,false,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,late weak state: only a short lower segment remains reliable; proxy crop has drifted away from this response.,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0384_OHS_0,ELIG_GM_RM017_PV003_S0384,GM_RM017,GM_RM017:PV003,184,384,75.720307,14.279693,396.485496,11.279693,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1089.552,899.773;1129.552,893.773;1165.552,905.773;1157.552,921.773;1111.552,917.773",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-98.882,-39.229]","u[-139.607,-64.025];v[-53.272,-23.845]","[-13.627,105.503]",10.493,75.582,29.427,2.267,0.883,true,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0384_RBC_0,ELIG_GM_RM017_PV003_S0384,GM_RM017,GM_RM017:PV003,184,384,75.720307,14.279693,396.485496,11.279693,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1153.552,933.773;1187.552,933.773;1191.552,1045.773;1161.552,1051.773",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-60.511,46.397]","u[-77.474,-43.521];v[-12.071,106.186]","[59.889,47.198]",89.814,33.953,118.257,1.019,3.548,true,true,true,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV003_S0384_UMS_0,ELIG_GM_RM017_PV003_S0384,GM_RM017,GM_RM017:PV003,184,384,75.720307,14.279693,396.485496,11.279693,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1329.552,955.773;1429.552,959.773;1441.552,1053.773;1337.552,1041.773",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[149.598,68.924]","u[97.133,203.851];v[19.110,122.837]","[29.895,-161.976]",30.987,106.718,103.727,3.202,3.112,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
